pathway,p_value,z_score,tissue
Notch signaling pathway,0.1442786069651741,0.0513697339261613,adipose_tissue
MAPK signaling pathway,0.0049751243781094,65.83346731228895,adipose_tissue
Ras signaling pathway,0.0049751243781094,193.85044180639252,adipose_tissue
Rap1 signaling pathway,0.0049751243781094,215.803520608588,adipose_tissue
JAK-STAT signaling pathway,0.0049751243781094,70.93599136035358,adipose_tissue
NF-kappa B signaling pathway,0.0696517412935323,0.6927478513921493,adipose_tissue
TNF signaling pathway,0.0099502487562189,7.896771141751063,adipose_tissue
HIF-1 signaling pathway,0.0049751243781094,35.42615714188003,adipose_tissue
FoxO signaling pathway,0.0547263681592039,1.0284238536511563,adipose_tissue
Calcium signaling pathway,0.0049751243781094,803.8475854591364,adipose_tissue
cAMP signaling pathway,0.0049751243781094,291.35807501521566,adipose_tissue
cGMP-PKG signaling pathway,0.0049751243781094,399.36698288626417,adipose_tissue
PI3K-Akt signaling pathway,0.0049751243781094,3053.117538271289,adipose_tissue
chr1p13,0.4171656686626746,-0.199253666214537,adipose_tissue
chr1p12,0.2435129740518962,-0.1198108241124395,adipose_tissue
chr1p31,0.9221556886227544,-0.1468185208938664,adipose_tissue
chr1q44,0.2974051896207584,-0.0754367067680173,adipose_tissue
chr1p35,0.2634730538922156,-0.0911224875496366,adipose_tissue
Notch signaling pathway,0.0895522388059701,0.38296522125854,aorta
MAPK signaling pathway,0.0497512437810945,1.3666690414544949,aorta
Ras signaling pathway,0.0099502487562189,4.646430447362276,aorta
Rap1 signaling pathway,0.0049751243781094,10.690551610501815,aorta
JAK-STAT signaling pathway,0.0248756218905472,2.3473910898940686,aorta
NF-kappa B signaling pathway,0.1840796019900497,0.2533879961751107,aorta
TNF signaling pathway,0.1741293532338308,0.4388934608555397,aorta
HIF-1 signaling pathway,0.044776119402985,1.2760796210030492,aorta
FoxO signaling pathway,0.0149253731343283,2.8878776334668816,aorta
Calcium signaling pathway,0.0497512437810945,1.572386120487714,aorta
cAMP signaling pathway,0.0049751243781094,10.837053541838786,aorta
cGMP-PKG signaling pathway,0.0049751243781094,17.90744291316452,aorta
PI3K-Akt signaling pathway,0.0149253731343283,2.450734758902353,aorta
chr1p13,0.7664670658682635,-0.2455343845058005,aorta
chr1p12,0.8083832335329342,-0.220313372852549,aorta
chr1p31,0.0758483033932135,0.8723309178653416,aorta
chr1q44,0.2295409181636726,-0.0164137019338817,aorta
