pathway,p_value,z_score,tissue
Notch signaling pathway,0.8258706467661692,-0.2037680225855007,anterior_part_of_tongue
MAPK signaling pathway,0.3432835820895522,-0.0804534973795671,anterior_part_of_tongue
Ras signaling pathway,0.1243781094527363,0.4105246219671734,anterior_part_of_tongue
Rap1 signaling pathway,0.0945273631840796,0.7976364920611027,anterior_part_of_tongue
JAK-STAT signaling pathway,0.5870646766169154,-0.2993170611366278,anterior_part_of_tongue
NF-kappa B signaling pathway,0.0099502487562189,6.457829850042656,anterior_part_of_tongue
TNF signaling pathway,0.1044776119402985,0.6302093279222586,anterior_part_of_tongue
HIF-1 signaling pathway,0.0796019900497512,0.7851092479530167,anterior_part_of_tongue
FoxO signaling pathway,0.1940298507462686,0.2223169618424469,anterior_part_of_tongue
Calcium signaling pathway,0.0646766169154228,1.6991027879656295,anterior_part_of_tongue
cAMP signaling pathway,0.3034825870646766,-0.0394513947446233,anterior_part_of_tongue
cGMP-PKG signaling pathway,0.0099502487562189,4.814937025639405,anterior_part_of_tongue
PI3K-Akt signaling pathway,0.0845771144278607,1.139472876404117,anterior_part_of_tongue
chr1p13,0.6367265469061876,-0.3570143895113557,anterior_part_of_tongue
chr1p12,0.6427145708582834,-0.2330317305902191,anterior_part_of_tongue
chr1p31,0.5089820359281437,-0.2682121485625167,anterior_part_of_tongue
chr1q44,0.2914171656686626,-0.0185110414640953,anterior_part_of_tongue
chr1p35,0.4510978043912175,-0.261245375435397,anterior_part_of_tongue
Notch signaling pathway,0.2288557213930348,0.1307180730998994,bladder_organ
MAPK signaling pathway,0.1940298507462686,0.1591992155357662,bladder_organ
Ras signaling pathway,0.0398009950248756,3.517522517920753,bladder_organ
Rap1 signaling pathway,0.1243781094527363,0.3461062297577485,bladder_organ
JAK-STAT signaling pathway,0.6865671641791045,-0.2687059466193705,bladder_organ
NF-kappa B signaling pathway,0.2437810945273631,0.0488649809380275,bladder_organ
TNF signaling pathway,0.1840796019900497,0.2935590815907851,bladder_organ
HIF-1 signaling pathway,0.0049751243781094,22.16295569077397,bladder_organ
FoxO signaling pathway,0.0497512437810945,0.7814347818729003,bladder_organ
Calcium signaling pathway,0.9054726368159204,-0.5761315813944909,bladder_organ
cAMP signaling pathway,0.0646766169154228,1.5508676731966702,bladder_organ
cGMP-PKG signaling pathway,0.0696517412935323,1.3945413889575369,bladder_organ
PI3K-Akt signaling pathway,0.0099502487562189,6.751683954151212,bladder_organ
chr1p13,0.8762475049900199,-0.3356473488383835,bladder_organ
chr1p12,0.5289421157684631,-0.142772812758848,bladder_organ
chr1p31,0.437125748502994,-0.240039647173652,bladder_organ
chr1q44,0.590818363273453,-0.2237944431666126,bladder_organ
chr1p35,0.6467065868263473,-0.4331987339663982,bladder_organ
Notch signaling pathway,0.1940298507462686,-0.1211235871442374,conjunctiva
MAPK signaling pathway,0.1343283582089552,0.170112848616206,conjunctiva
Ras signaling pathway,0.2587064676616915,-0.131178862030142,conjunctiva
Rap1 signaling pathway,0.7263681592039801,-0.1993945279651777,conjunctiva
JAK-STAT signaling pathway,0.2437810945273631,-0.1817427572605645,conjunctiva
NF-kappa B signaling pathway,0.0497512437810945,0.9877990392502358,conjunctiva
TNF signaling pathway,0.0398009950248756,0.8404823251817731,conjunctiva
HIF-1 signaling pathway,0.1144278606965174,-0.0084039095754758,conjunctiva
FoxO signaling pathway,0.9850746268656716,-0.2512880705130842,conjunctiva
Calcium signaling pathway,0.8407960199004975,-0.201957047972881,conjunctiva
cAMP signaling pathway,0.6019900497512438,-0.1420488187382541,conjunctiva
cGMP-PKG signaling pathway,0.9054726368159204,-0.2620285406645033,conjunctiva
PI3K-Akt signaling pathway,0.2139303482587064,-0.0653085277914921,conjunctiva
chr1p13,0.4251497005988024,-0.1927506706632604,conjunctiva
chr1p12,0.6447105788423154,-0.077371356206118,conjunctiva
chr1p31,0.2275449101796407,-0.0860251552295807,conjunctiva
chr1q44,0.0359281437125748,0.3728462080253731,conjunctiva
chr1p35,0.4950099800399201,-0.1103750339275694,conjunctiva
Notch signaling pathway,0.0248756218905472,2.465869430375468,cornea
MAPK signaling pathway,0.0099502487562189,7.150386553818631,cornea
Ras signaling pathway,0.0099502487562189,3.700549076111854,cornea
Rap1 signaling pathway,0.0049751243781094,41.847637709703015,cornea
JAK-STAT signaling pathway,0.0049751243781094,31.483006508795693,cornea
NF-kappa B signaling pathway,0.3532338308457711,-0.0536077486192721,cornea
TNF signaling pathway,0.0945273631840796,0.5434300719902175,cornea
HIF-1 signaling pathway,0.0099502487562189,11.995873706559404,cornea
FoxO signaling pathway,0.0049751243781094,42.02719052994956,cornea
Calcium signaling pathway,0.0049751243781094,17.77412828206417,cornea
cAMP signaling pathway,0.0049751243781094,35.96936763621908,cornea
cGMP-PKG signaling pathway,0.0049751243781094,11.522989060081164,cornea
PI3K-Akt signaling pathway,0.0049751243781094,134.19939917598626,cornea
chr1p13,0.6506986027944112,-0.3198229907165711,cornea
chr1p12,0.8483033932135728,-0.2640484354281434,cornea
chr1p31,0.7744510978043913,-0.5249193518930175,cornea
chr1q44,0.4810379241516966,-0.2508937455773252,cornea
chr1p35,0.5029940119760479,-0.1091513238752765,cornea
Notch signaling pathway,0.5472636815920398,-0.3803431646758648,endocrine_pancreas
MAPK signaling pathway,0.6567164179104478,-0.4819543951573546,endocrine_pancreas
Ras signaling pathway,0.0049751243781094,6.440871021811043,endocrine_pancreas
Rap1 signaling pathway,0.0049751243781094,7.728116044736399,endocrine_pancreas
JAK-STAT signaling pathway,0.945273631840796,-0.6958827612853686,endocrine_pancreas
NF-kappa B signaling pathway,0.6368159203980099,-0.5529311443293526,endocrine_pancreas
TNF signaling pathway,0.965174129353234,-0.9470793783524994,endocrine_pancreas
HIF-1 signaling pathway,0.0099502487562189,4.12103780005018,endocrine_pancreas
FoxO signaling pathway,0.8855721393034826,-0.6199392886675139,endocrine_pancreas
Calcium signaling pathway,0.417910447761194,-0.2279740091461662,endocrine_pancreas
cAMP signaling pathway,0.0049751243781094,10.671103321028404,endocrine_pancreas
cGMP-PKG signaling pathway,0.0099502487562189,4.483197584116448,endocrine_pancreas
PI3K-Akt signaling pathway,0.0049751243781094,15.236527509045008,endocrine_pancreas
chr1p13,0.4331337325349301,-0.1794262113541949,endocrine_pancreas
chr1p12,0.6227544910179641,-0.40235056553355,endocrine_pancreas
chr1p31,0.8502994011976048,-0.7023012276317617,endocrine_pancreas
chr1q44,0.3952095808383233,-0.1653514625155079,endocrine_pancreas
chr1p35,0.1357285429141716,0.8936230040029329,endocrine_pancreas
Notch signaling pathway,0.0746268656716417,1.469617190852869,exocrine_pancreas
MAPK signaling pathway,0.0099502487562189,5.1091786616994685,exocrine_pancreas
Ras signaling pathway,0.0049751243781094,24.5819020204422,exocrine_pancreas
Rap1 signaling pathway,0.0049751243781094,27.45312006478948,exocrine_pancreas
JAK-STAT signaling pathway,0.1094527363184079,1.0683513632166577,exocrine_pancreas
NF-kappa B signaling pathway,0.0199004975124378,3.695194305378601,exocrine_pancreas
TNF signaling pathway,0.0099502487562189,6.105174535550525,exocrine_pancreas
HIF-1 signaling pathway,0.0049751243781094,15.988051607347716,exocrine_pancreas
FoxO signaling pathway,0.5671641791044776,-0.3967405550525898,exocrine_pancreas
Calcium signaling pathway,0.0298507462686567,2.3326310459268385,exocrine_pancreas
cAMP signaling pathway,0.0049751243781094,17.88204487813114,exocrine_pancreas
cGMP-PKG signaling pathway,0.0049751243781094,15.841965707594143,exocrine_pancreas
PI3K-Akt signaling pathway,0.0049751243781094,23.104083926593724,exocrine_pancreas
chr1p13,0.1736526946107784,0.6016568673727486,exocrine_pancreas
chr1p12,0.3013972055888224,-0.085149552001389,exocrine_pancreas
chr1p31,0.5369261477045908,-0.4129728430118055,exocrine_pancreas
