pathway,p_value,z_score,tissue
Notch signaling pathway,0.0298507462686567,1.7447395926384217,adipose_tissue
MAPK signaling pathway,0.0049751243781094,126.54855174198217,adipose_tissue
Ras signaling pathway,0.0049751243781094,104.0266879203198,adipose_tissue
Rap1 signaling pathway,0.0049751243781094,15742.109880088345,adipose_tissue
JAK-STAT signaling pathway,0.0099502487562189,7.974888213281077,adipose_tissue
NF-kappa B signaling pathway,0.3830845771144278,-0.1609362798027804,adipose_tissue
TNF signaling pathway,0.0099502487562189,6.283585245754692,adipose_tissue
HIF-1 signaling pathway,0.0049751243781094,596.4611095874384,adipose_tissue
FoxO signaling pathway,0.0049751243781094,21.85094800773433,adipose_tissue
Calcium signaling pathway,0.0049751243781094,78.0794706953568,adipose_tissue
cAMP signaling pathway,0.0049751243781094,164.6573888658265,adipose_tissue
cGMP-PKG signaling pathway,0.0049751243781094,183.52929233765136,adipose_tissue
PI3K-Akt signaling pathway,0.0049751243781094,597.8323737243782,adipose_tissue
chr1p13,0.7485029940119761,-0.3162371126404461,adipose_tissue
chr1p12,0.8962075848303394,-0.2942414679655011,adipose_tissue
chr1p31,0.2994011976047904,-0.0977833581665375,adipose_tissue
chr1q44,0.718562874251497,-0.1269360573353554,adipose_tissue
chr1p35,0.908183632734531,-0.1430006253717585,adipose_tissue
Notch signaling pathway,0.0248756218905472,2.9721094755214343,aorta
MAPK signaling pathway,0.0348258706467661,1.2243340244295575,aorta
Ras signaling pathway,0.0049751243781094,25.579650287081684,aorta
Rap1 signaling pathway,0.0049751243781094,85.32312593018361,aorta
JAK-STAT signaling pathway,0.0049751243781094,43.73853381691285,aorta
NF-kappa B signaling pathway,0.7661691542288557,-0.1758669128839349,aorta
TNF signaling pathway,0.0746268656716417,0.1350920410342369,aorta
HIF-1 signaling pathway,0.0049751243781094,15.07903680667119,aorta
FoxO signaling pathway,0.0099502487562189,7.583495449990715,aorta
Calcium signaling pathway,0.0049751243781094,365.019598959673,aorta
cAMP signaling pathway,0.0049751243781094,142.61908876890976,aorta
cGMP-PKG signaling pathway,0.0049751243781094,178.55431135593489,aorta
PI3K-Akt signaling pathway,0.0049751243781094,704.1062274290176,aorta
chr1p13,0.7944111776447106,-0.4499418786663149,aorta
chr1p12,0.7904191616766467,-0.2522729562147935,aorta
chr1p31,0.0758483033932135,0.3817133449340331,aorta
chr1q44,0.6027944111776448,-0.2650866930949683,aorta
chr1p35,0.7784431137724551,-0.4720593409512399,aorta
Notch signaling pathway,0.5472636815920398,-0.2814234155708379,bladder_organ
MAPK signaling pathway,0.0099502487562189,6.82815454479509,bladder_organ
Ras signaling pathway,0.0049751243781094,14.141371144943331,bladder_organ
Rap1 signaling pathway,0.0099502487562189,8.799546731854516,bladder_organ
JAK-STAT signaling pathway,0.0049751243781094,23.717391865907143,bladder_organ
NF-kappa B signaling pathway,0.0348258706467661,3.553187790173352,bladder_organ
TNF signaling pathway,0.0049751243781094,19.537016380672853,bladder_organ
HIF-1 signaling pathway,0.0049751243781094,22.896975398315,bladder_organ
FoxO signaling pathway,0.0049751243781094,26.409212894824588,bladder_organ
Calcium signaling pathway,0.0049751243781094,27.00768214216556,bladder_organ
cAMP signaling pathway,0.0049751243781094,93.10689188857329,bladder_organ
cGMP-PKG signaling pathway,0.0049751243781094,62.101913594031146,bladder_organ
PI3K-Akt signaling pathway,0.0049751243781094,68.10068793384815,bladder_organ
chr1p13,0.9640718562874252,-0.2537038463834387,bladder_organ
chr1p12,0.6467065868263473,-0.1259773814924359,bladder_organ
chr1p31,0.5369261477045908,-0.3686069752096103,bladder_organ
chr1q44,0.4231536926147705,-0.161489186720496,bladder_organ
chr1p35,0.0898203592814371,0.6294941314967079,bladder_organ
Notch signaling pathway,0.0696517412935323,0.6409870574250466,cardiac_atrium
MAPK signaling pathway,0.2736318407960199,0.2429964127105386,cardiac_atrium
Ras signaling pathway,0.3333333333333333,-0.0427927600084416,cardiac_atrium
Rap1 signaling pathway,0.1094527363184079,0.4092317910058378,cardiac_atrium
JAK-STAT signaling pathway,0.0049751243781094,14.35633199576264,cardiac_atrium
NF-kappa B signaling pathway,0.5870646766169154,-0.4524033885675453,cardiac_atrium
TNF signaling pathway,0.1442786069651741,0.5223926075730742,cardiac_atrium
HIF-1 signaling pathway,0.0199004975124378,2.1921169874213184,cardiac_atrium
FoxO signaling pathway,0.0149253731343283,2.250559554137015,cardiac_atrium
Calcium signaling pathway,0.0746268656716417,1.0965191167224493,cardiac_atrium
cAMP signaling pathway,0.3034825870646766,0.0771739473160915,cardiac_atrium
cGMP-PKG signaling pathway,0.0049751243781094,10.050408179549995,cardiac_atrium
PI3K-Akt signaling pathway,0.0099502487562189,4.685198263885432,cardiac_atrium
chr1p13,0.4730538922155688,-0.1948854685261207,cardiac_atrium
chr1p12,0.5608782435129741,-0.2997206836592218,cardiac_atrium
chr1p31,0.6766467065868264,-0.393399901112451,cardiac_atrium
chr1q44,0.4630738522954092,-0.1334475839173962,cardiac_atrium
chr1p35,0.7445109780439122,-0.5196267721860558,cardiac_atrium
Notch signaling pathway,0.208955223880597,-0.1185273506666676,cardiac_ventricle
MAPK signaling pathway,0.6865671641791045,-0.3284984997397386,cardiac_ventricle
Ras signaling pathway,0.2786069651741293,-0.0819788761191689,cardiac_ventricle
Rap1 signaling pathway,0.3482587064676617,-0.0714998288921531,cardiac_ventricle
JAK-STAT signaling pathway,0.6417910447761194,-0.1315686285483753,cardiac_ventricle
NF-kappa B signaling pathway,0.9154228855721394,-0.1685115248863277,cardiac_ventricle
TNF signaling pathway,0.3134328358208955,-0.1849794544330852,cardiac_ventricle
HIF-1 signaling pathway,0.0049751243781094,80.96620141783157,cardiac_ventricle
