Gene1	A2ML1
Gene2	AAMP
Gene3	AAR2
Gene4	AARSD1
Gene5	ABAT
Gene6	ABCA1
Gene7	ABCA3
Gene8	ABCA4
Gene9	ABCA7
Gene10	ABCB1
Gene11	ABCB4
Gene12	ABCB6
Gene13	ABCC1
Gene14	ABCC12
Gene15	ABCC2
Gene16	ABCC3
Gene17	ABCC4
Gene18	ABCC6
Gene19	ABCC8
Gene20	ABCC9
Gene21	ABCD1
Gene22	ABCD3
Gene23	ABCD4
Gene24	ABCF3
Gene25	ABCG1
Gene26	ABCG2
Gene27	ABHD11
Gene28	ABHD6
Gene29	ABI3
Gene30	ABI3BP
Gene31	ABL1
Gene32	ABL2
Gene33	ABO
Gene34	ABTB1
Gene35	ABTB2
Gene36	ACAA2
Gene37	ACACA
Gene38	ACACB
Gene39	ACAP1
Gene40	ACAP2
Gene41	ACAT1
Gene42	ACE
Gene43	ACE2
Gene44	ACHE
Gene45	ACKR3
Gene46	ACLY
Gene47	ACOD1
Gene48	ACP5
Gene49	ACPP
Gene50	ACRBP
Gene51	ACRV1
Gene52	ACSL4
Gene53	ACTBL2
Gene54	ACTL6A
Gene55	ACTL7A
Gene56	ACTN1
Gene57	ACTN2
Gene58	ACTN4
Gene59	ACVR1
Gene60	ACVR1B
Gene61	ACVR2A
Gene62	ACVRL1
Gene63	ACYP2
Gene64	ADA
Gene65	ADAM10
Gene66	ADAM12
Gene67	ADAM17
Gene68	ADAM28
Gene69	ADAM33
Gene70	ADAM8
Gene71	ADAM9
Gene72	ADAMDEC1
Gene73	ADAMTS1
Gene74	ADAMTS12
Gene75	ADAMTS19
Gene76	ADAMTS2
Gene77	ADAMTS4
Gene78	ADAMTS5
Gene79	ADAMTSL3
Gene80	ADAR
Gene81	ADCY2
Gene82	ADCYAP1
Gene83	ADCYAP1R1
Gene84	ADD1
Gene85	ADGRA1
Gene86	ADGRA2
Gene87	ADGRA3
Gene88	ADGRB1
Gene89	ADGRB2
Gene90	ADGRD1
Gene91	ADGRD2
Gene92	ADGRE1
Gene93	ADGRE2
Gene94	ADGRE5
Gene95	ADGRG1
Gene96	ADGRG5
Gene97	ADGRG6
Gene98	ADGRL1
Gene99	ADGRL4
Gene100	ADIPOQ
Gene101	ADIPOR1
Gene102	ADIPOR2
Gene103	ADM
Gene104	ADNP
Gene105	ADORA1
Gene106	ADORA2A
Gene107	ADORA2B
Gene108	ADORA3
Gene109	ADRA1A
Gene110	ADRA1B
Gene111	ADRA1D
Gene112	ADRA2A
Gene113	ADRA2B
Gene114	ADRA2C
Gene115	ADRB1
Gene116	ADRB2
Gene117	ADRB3
Gene118	ADTRP
Gene119	AEBP1
Gene120	AFAP1L2
Gene121	AFF1
Gene122	AFF2
Gene123	AFG1L
Gene124	AFM
Gene125	AGAP1
Gene126	AGAP3
Gene127	AGER
Gene128	AGMAT
Gene129	AGO1
Gene130	AGR3
Gene131	AGRP
Gene132	AGTR1
Gene133	AGTR2
Gene134	AGXT
Gene135	AHCY
Gene136	AHR
Gene137	AHRR
Gene138	AHSG
Gene139	AICDA
Gene140	AIF1L
Gene141	AIFM1
Gene142	AIM2
Gene143	AIMP2
Gene144	AIP
Gene145	AIRE
Gene146	AJAP1
Gene147	AKAP11
Gene148	AKAP4
Gene149	AKAP8
Gene150	AKR1B1
Gene151	AKR1C3
Gene152	AKT1
Gene153	AKT2
Gene154	AKT3
Gene155	AKTIP
Gene156	ALAD
Gene157	ALCAM
Gene158	ALDH1B1
Gene159	ALDH2
Gene160	ALDH3A2
Gene161	ALDH7A1
Gene162	ALDOA
Gene163	ALG11
Gene164	ALG13
Gene165	ALG2
Gene166	ALG6
Gene167	ALG9
Gene168	ALK
Gene169	ALKBH5
Gene170	ALOX12
Gene171	ALOX15
Gene172	ALOX5
Gene173	ALPK1
Gene174	ALPK3
Gene175	ALPL
Gene176	ALX1
Gene177	ALYREF
Gene178	AMACR
Gene179	AMER1
Gene180	AMFR
Gene181	AMH
Gene182	AMIGO1
Gene183	AMIGO3
Gene184	AMOT
Gene185	ANAPC1
Gene186	ANGPT1
Gene187	ANGPT2
Gene188	ANGPTL2
Gene189	ANGPTL3
Gene190	ANGPTL4
Gene191	ANGPTL6
Gene192	ANGPTL7
Gene193	ANGPTL8
Gene194	ANK1
Gene195	ANKHD1
Gene196	ANKK1
Gene197	ANKRD13A
Gene198	ANKRD13D
Gene199	ANKRD17
Gene200	ANKRD30A
Gene201	ANKRD40
Gene202	ANKRD44
Gene203	ANKRD6
Gene204	ANKS1A
Gene205	ANKS6
Gene206	ANKZF1
Gene207	ANO1
Gene208	ANO3
Gene209	ANP32E
Gene210	ANPEP
Gene211	ANXA10
Gene212	ANXA2
Gene213	ANXA3
Gene214	ANXA5
Gene215	ANXA8
Gene216	AOAH
Gene217	AOC3
Gene218	AOX1
Gene219	AP1B1
Gene220	AP1M1
Gene221	AP1S3
Gene222	AP2A1
Gene223	AP2A2
Gene224	AP2M1
Gene225	AP3B2
Gene226	AP3D1
Gene227	AP3M2
Gene228	AP5B1
Gene229	APAF1
Gene230	APC
Gene231	APCDD1
Gene232	APELA
Gene233	APEX1
Gene234	APEX2
Gene235	APH1B
Gene236	API5
Gene237	APLF
Gene238	APLN
Gene239	APLNR
Gene240	APMAP
Gene241	APOB
Gene242	APOBEC3B
Gene243	APOBEC3C
Gene244	APOBEC3D
Gene245	APOBEC3F
Gene246	APOBEC3G
Gene247	APOL1
Gene248	APOL2
Gene249	APOL3
Gene250	APOL6
Gene251	APOM
Gene252	APP
Gene253	APPBP2
Gene254	APTX
Gene255	AQP4
Gene256	AQP5
Gene257	AQP7
Gene258	AQP8
Gene259	AQP9
Gene260	AR
Gene261	ARC
Gene262	ARF1
Gene263	ARF6
Gene264	ARFIP1
Gene265	ARG1
Gene266	ARG2
Gene267	ARHGAP35
Gene268	ARHGAP36
Gene269	ARHGEF2
Gene270	ARHGEF7
Gene271	ARID1A
Gene272	ARID3B
Gene273	ARL4D
Gene274	ARL8B
Gene275	ARMC5
Gene276	ARMC7
Gene277	ARMH3
Gene278	ARNT
Gene279	ARNTL
Gene280	ARR3
Gene281	ARRB1
Gene282	ARRB2
Gene283	ARRDC3
Gene284	ART1
Gene285	ART3
Gene286	ART4
Gene287	ARX
Gene288	ASCC2
Gene289	ASCC3
Gene290	ASCL1
Gene291	ASCL2
Gene292	ASF1B
Gene293	ASH2L
Gene294	ASIC1
Gene295	ASPM
Gene296	ASPN
Gene297	ASTN2
Gene298	ASXL1
Gene299	ATAD3A
Gene300	ATF1
Gene301	ATF2
Gene302	ATF3
Gene303	ATF4
Gene304	ATF6
Gene305	ATG10
Gene306	ATG16L1
Gene307	ATG2A
Gene308	ATG5
Gene309	ATG7
Gene310	ATIC
Gene311	ATL1
Gene312	ATL2
Gene313	ATL3
Gene314	ATM
Gene315	ATOH1
Gene316	ATOH7
Gene317	ATOH8
Gene318	ATP10D
Gene319	ATP13A2
Gene320	ATP1A1
Gene321	ATP2A2
Gene322	ATP2B1
Gene323	ATP5F1A
Gene324	ATP5F1C
Gene325	ATP6V1B1
Gene326	ATP6V1H
Gene327	ATP7A
Gene328	ATP7B
Gene329	ATPAF1
Gene330	ATPSCKMT
Gene331	ATR
Gene332	ATRX
Gene333	ATXN1
Gene334	ATXN1L
Gene335	ATXN2
Gene336	ATXN2L
Gene337	ATXN3
Gene338	ATXN7L2
Gene339	AUNIP
Gene340	AURKA
Gene341	AURKB
Gene342	AURKC
Gene343	AVPR1A
Gene344	AVPR1B
Gene345	AVPR2
Gene346	AXIN1
Gene347	AXIN2
Gene348	AXL
Gene349	B3GAT1
Gene350	B4GAT1
Gene351	BAALC
Gene352	BAAT
Gene353	BACE1
Gene354	BACE2
Gene355	BACH2
Gene356	BAD
Gene357	BAG2
Gene358	BAG3
Gene359	BAG6
Gene360	BAIAP2
Gene361	BAK1
Gene362	BANK1
Gene363	BAP1
Gene364	BARD1
Gene365	BARHL2
Gene366	BARX2
Gene367	BATF
Gene368	BATF3
Gene369	BAX
Gene370	BAZ2B
Gene371	BBC3
Gene372	BCAM
Gene373	BCAN
Gene374	BCAR1
Gene375	BCAR3
Gene376	BCAR4
Gene377	BCAS3
Gene378	BCCIP
Gene379	BCHE
Gene380	BCKDK
Gene381	BCL10
Gene382	BCL11A
Gene383	BCL11B
Gene384	BCL2
Gene385	BCL2A1
Gene386	BCL2L1
Gene387	BCL2L11
Gene388	BCL2L12
Gene389	BCL2L13
Gene390	BCL2L2
Gene391	BCL3
Gene392	BCL6
Gene393	BCL6B
Gene394	BCL7B
Gene395	BCL7C
Gene396	BCOR
Gene397	BCORL1
Gene398	BCR
Gene399	BDKRB1
Gene400	BDKRB2
Gene401	BDNF
Gene402	BEAN1
Gene403	BECN1
Gene404	BEX2
Gene405	BFSP1
Gene406	BFSP2
Gene407	BHMT
Gene408	BICRAL
Gene409	BID
Gene410	BIK
Gene411	BIRC2
Gene412	BIRC5
Gene413	BIRC7
Gene414	BLK
Gene415	BLM
Gene416	BLNK
Gene417	BLOC1S2
Gene418	BLVRA
Gene419	BMI1
Gene420	BMP2
Gene421	BMP2K
Gene422	BMP4
Gene423	BMP5
Gene424	BMP6
Gene425	BMP7
Gene426	BMP8A
Gene427	BMP8B
Gene428	BMPER
Gene429	BMPR1A
Gene430	BMPR1B
Gene431	BMPR2
Gene432	BNC1
Gene433	BNC2
Gene434	BNIP3
Gene435	BOLL
Gene436	BRAF
Gene437	BRCA1
Gene438	BRCA2
Gene439	BRD3
Gene440	BRD4
Gene441	BRDT
Gene442	BRI3BP
Gene443	BRINP1
Gene444	BRIP1
Gene445	BRIX1
Gene446	BRSK2
Gene447	BSDC1
Gene448	BST1
Gene449	BTAF1
Gene450	BTBD9
Gene451	BTK
Gene452	BTLA
Gene453	BTN3A1
Gene454	BTNL2
Gene455	BTRC
Gene456	BUB1
Gene457	BUB1B
Gene458	BVES
Gene459	C1QBP
Gene460	C1QL3
Gene461	C1QTNF1
Gene462	C1QTNF6
Gene463	C1QTNF9
Gene464	C1RL
Gene465	C3AR1
Gene466	C4A
Gene467	C4B
Gene468	C5
Gene469	C5AR1
Gene470	C6
Gene471	C8B
Gene472	C8G
Gene473	C9
Gene474	CA10
Gene475	CA12
Gene476	CA14
Gene477	CA4
Gene478	CA9
Gene479	CABCOCO1
Gene480	CABP4
Gene481	CABYR
Gene482	CACNA1B
Gene483	CACNA1C
Gene484	CACNA1D
Gene485	CACNA1G
Gene486	CACNA1H
Gene487	CACNA2D1
Gene488	CACNG3
Gene489	CACNG4
Gene490	CACNG5
Gene491	CACUL1
Gene492	CACYBP
Gene493	CAD
Gene494	CADM3
Gene495	CADM4
Gene496	CALB1
Gene497	CALB2
Gene498	CALCA
Gene499	CALCB
Gene500	CALCR
Gene501	CALCRL
Gene502	CALM3
Gene503	CALML3
Gene504	CALR3
Gene505	CAMK1
Gene506	CAMK2A
Gene507	CAMK2B
Gene508	CAMK2D
Gene509	CAMK2G
Gene510	CAMKV
Gene511	CAMP
Gene512	CAMSAP2
Gene513	CAND1
Gene514	CANX
Gene515	CAPN1
Gene516	CAPN3
Gene517	CARD10
Gene518	CARD11
Gene519	CARD14
Gene520	CARD8
Gene521	CARD9
Gene522	CARF
Gene523	CARM1
Gene524	CARTPT
Gene525	CASC8
Gene526	CASK
Gene527	CASP1
Gene528	CASP10
Gene529	CASP2
Gene530	CASP3
Gene531	CASP6
Gene532	CASP7
Gene533	CASP8
Gene534	CASP8AP2
Gene535	CASP9
Gene536	CASQ2
Gene537	CASR
Gene538	CASS4
Gene539	CASZ1
Gene540	CAT
Gene541	CATSPER2
Gene542	CAV2
Gene543	CAVIN2
Gene544	CAVIN3
Gene545	CBARP
Gene546	CBFB
Gene547	CBL
Gene548	CBLB
Gene549	CBLIF
Gene550	CBLN1
Gene551	CBLN3
Gene552	CBLN4
Gene553	CBR1
Gene554	CBS
Gene555	CBSL
Gene556	CBWD2
Gene557	CBX1
Gene558	CBX3
Gene559	CBX5
Gene560	CBX7
Gene561	CC2D1A
Gene562	CCAR2
Gene563	CCAT2
Gene564	CCBE1
Gene565	CCDC102B
Gene566	CCDC103
Gene567	CCDC113
Gene568	CCDC124
Gene569	CCDC136
Gene570	CCDC137
Gene571	CCDC14
Gene572	CCDC141
Gene573	CCDC170
Gene574	CCDC27
Gene575	CCDC33
Gene576	CCDC43
Gene577	CCDC50
Gene578	CCDC51
Gene579	CCDC57
Gene580	CCDC6
Gene581	CCDC61
Gene582	CCDC62
Gene583	CCDC7
Gene584	CCDC77
Gene585	CCDC80
Gene586	CCDC86
Gene587	CCDC9
Gene588	CCDC91
Gene589	CCK
Gene590	CCKAR
Gene591	CCKBR
Gene592	CCL1
Gene593	CCL11
Gene594	CCL13
Gene595	CCL14
Gene596	CCL15
Gene597	CCL16
Gene598	CCL17
Gene599	CCL18
Gene600	CCL19
Gene601	CCL20
Gene602	CCL22
Gene603	CCL23
Gene604	CCL24
Gene605	CCL25
Gene606	CCL26
Gene607	CCL27
Gene608	CCL28
Gene609	CCL7
Gene610	CCL8
Gene611	CCN1
Gene612	CCN2
Gene613	CCN3
Gene614	CCN4
Gene615	CCN5
Gene616	CCNA1
Gene617	CCNA2
Gene618	CCNB1
Gene619	CCNB2
Gene620	CCNB3
Gene621	CCND1
Gene622	CCND2
Gene623	CCND3
Gene624	CCNDBP1
Gene625	CCNE1
Gene626	CCNO
Gene627	CCNT1
Gene628	CCNY
Gene629	CCR1
Gene630	CCR2
Gene631	CCR3
Gene632	CCR4
Gene633	CCR5
Gene634	CCR6
Gene635	CCR7
Gene636	CCR8
Gene637	CCR9
Gene638	CCRL2
Gene639	CCT2
Gene640	CCT3
Gene641	CCT5
Gene642	CCT6A
Gene643	CCT7
Gene644	CCT8
Gene645	CD101
Gene646	CD109
Gene647	CD14
Gene648	CD151
Gene649	CD160
Gene650	CD163
Gene651	CD177
Gene652	CD180
Gene653	CD19
Gene654	CD1A
Gene655	CD1B
Gene656	CD1C
Gene657	CD1D
Gene658	CD1E
Gene659	CD2
Gene660	CD200
Gene661	CD207
Gene662	CD209
Gene663	CD22
Gene664	CD226
Gene665	CD244
Gene666	CD247
Gene667	CD248
Gene668	CD27
Gene669	CD274
Gene670	CD276
