pathway_name,pathway_embedding,random_embedding_1,random_embedding_2,random_embedding_3,random_embedding_4,random_embedding_5,random_embedding_6,random_embedding_7,random_embedding_8,random_embedding_9,random_embedding_10,random_embedding_11,random_embedding_12,random_embedding_13,random_embedding_14,random_embedding_15,random_embedding_16,random_embedding_17,random_embedding_18,random_embedding_19,random_embedding_20,random_embedding_21,random_embedding_22,random_embedding_23,random_embedding_24,random_embedding_25,random_embedding_26,random_embedding_27,random_embedding_28,random_embedding_29,random_embedding_30,random_embedding_31,random_embedding_32,random_embedding_33,random_embedding_34,random_embedding_35,random_embedding_36,random_embedding_37,random_embedding_38,random_embedding_39,random_embedding_40,random_embedding_41,random_embedding_42,random_embedding_43,random_embedding_44,random_embedding_45,random_embedding_46,random_embedding_47,random_embedding_48,random_embedding_49,random_embedding_50,random_embedding_51,random_embedding_52,random_embedding_53,random_embedding_54,random_embedding_55,random_embedding_56,random_embedding_57,random_embedding_58,random_embedding_59,random_embedding_60,random_embedding_61,random_embedding_62,random_embedding_63,random_embedding_64,random_embedding_65,random_embedding_66,random_embedding_67,random_embedding_68,random_embedding_69,random_embedding_70,random_embedding_71,random_embedding_72,random_embedding_73,random_embedding_74,random_embedding_75,random_embedding_76,random_embedding_77,random_embedding_78,random_embedding_79,random_embedding_80,random_embedding_81,random_embedding_82,random_embedding_83,random_embedding_84,random_embedding_85,random_embedding_86,random_embedding_87,random_embedding_88,random_embedding_89,random_embedding_90,random_embedding_91,random_embedding_92,random_embedding_93,random_embedding_94,random_embedding_95,random_embedding_96,random_embedding_97,random_embedding_98,random_embedding_99,random_embedding_100,random_embedding_101,random_embedding_102,random_embedding_103,random_embedding_104,random_embedding_105,random_embedding_106,random_embedding_107,random_embedding_108,random_embedding_109,random_embedding_110,random_embedding_111,random_embedding_112,random_embedding_113,random_embedding_114,random_embedding_115,random_embedding_116,random_embedding_117,random_embedding_118,random_embedding_119,random_embedding_120,random_embedding_121,random_embedding_122,random_embedding_123,random_embedding_124,random_embedding_125,random_embedding_126,random_embedding_127,random_embedding_128,random_embedding_129,random_embedding_130,random_embedding_131,random_embedding_132,random_embedding_133,random_embedding_134,random_embedding_135,random_embedding_136,random_embedding_137,random_embedding_138,random_embedding_139,random_embedding_140,random_embedding_141,random_embedding_142,random_embedding_143,random_embedding_144,random_embedding_145,random_embedding_146,random_embedding_147,random_embedding_148,random_embedding_149,random_embedding_150,random_embedding_151,random_embedding_152,random_embedding_153,random_embedding_154,random_embedding_155,random_embedding_156,random_embedding_157,random_embedding_158,random_embedding_159,random_embedding_160,random_embedding_161,random_embedding_162,random_embedding_163,random_embedding_164,random_embedding_165,random_embedding_166,random_embedding_167,random_embedding_168,random_embedding_169,random_embedding_170,random_embedding_171,random_embedding_172,random_embedding_173,random_embedding_174,random_embedding_175,random_embedding_176,random_embedding_177,random_embedding_178,random_embedding_179,random_embedding_180,random_embedding_181,random_embedding_182,random_embedding_183,random_embedding_184,random_embedding_185,random_embedding_186,random_embedding_187,random_embedding_188,random_embedding_189,random_embedding_190,random_embedding_191,random_embedding_192,random_embedding_193,random_embedding_194,random_embedding_195,random_embedding_196,random_embedding_197,random_embedding_198,random_embedding_199,random_embedding_200
Bacterial invasion of epithelial cells,6.0,8.0,6.0,3.0,5.0,4.0,9.0,10.0,7.0,7.0,9.0,3.0,2.0,4.0,4.0,9.0,3.0,9.0,4.0,5.0,4.0,5.0,7.0,4.0,8.0,10.0,8.0,2.0,7.0,7.0,9.0,8.0,4.0,5.0,5.0,6.0,2.0,6.0,4.0,6.0,2.0,8.0,4.0,7.0,2.0,6.0,5.0,4.0,2.0,7.0,8.0,7.0,5.0,4.0,7.0,3.0,2.0,11.0,6.0,5.0,3.0,3.0,9.0,7.0,6.0,2.0,6.0,9.0,2.0,7.0,5.0,6.0,3.0,9.0,2.0,9.0,3.0,3.0,5.0,10.0,4.0,6.0,7.0,8.0,3.0,12.0,6.0,5.0,7.0,9.0,4.0,7.0,9.0,10.0,5.0,6.0,3.0,11.0,2.0,6.0,4.0,10.0,7.0,5.0,5.0,2.0,8.0,5.0,8.0,3.0,5.0,9.0,4.0,2.0,7.0,8.0,4.0,3.0,10.0,5.0,3.0,3.0,5.0,3.0,9.0,7.0,4.0,3.0,3.0,4.0,4.0,6.0,5.0,3.0,4.0,6.0,8.0,6.0,4.0,5.0,7.0,2.0,2.0,5.0,3.0,4.0,5.0,2.0,6.0,5.0,3.0,3.0,2.0,7.0,8.0,3.0,2.0,7.0,4.0,5.0,8.0,7.0,4.0,7.0,8.0,5.0,3.0,7.0,6.0,7.0,5.0,8.0,3.0,12.0,5.0,7.0,4.0,5.0,5.0,2.0,3.0,7.0,2.0,6.0,4.0,4.0,8.0,3.0,11.0,7.0,6.0,5.0,6.0,5.0,4.0,6.0,2.0,3.0,5.0,6.0,7.0
Bacterial invasion of epithelial cells,84.06433681725336,98.86393494093596,31.135117765947943,35.47146945299748,23.563976153610344,38.31617939507168,78.65199699316526,197.87882670166712,70.65565798390554,35.792735231866786,87.35348452775507,29.97726329064163,43.05346678871523,28.579253864615314,44.13807723190852,58.01861441509173,20.855076875672964,40.402846793100025,27.698191226387173,79.53649581552824,29.87203690126536,82.77646832827614,66.5753162004304,39.34062878851637,84.91824029752709,88.43386310167867,72.2259219591177,21.73140819494263,109.91320957283305,46.61233476262044,76.54971894188255,30.184177608859954,23.456529213271455,67.68558612713647,54.116787050311565,42.634119940203355,23.61473246950583,63.3577313377989,20.992071784302404,81.7428512961547,4.616410678855214,104.42696795794927,61.62258267666298,70.56023802535893,4.54222117787695,77.46528671040714,52.464493717429036,32.88797752825036,21.3929019932535,36.31027291458479,116.42285467277333,101.58675311414619,293.1829831397093,33.61167628721657,30.02241687463737,33.850021000791,4.192360680992682,62.17683144586054,86.23220222955631,120.80783597453778,27.92721487745898,32.77120326188245,75.12181322548244,97.69038702355354,289.02465813547565,17.646953333585277,71.96060837245821,43.78307879570738,32.96319642361919,83.60106427664608,48.981253619913005,72.71390137905578,24.4399851317168,68.86124023730423,23.11259106900667,68.48684369571414,26.545351797052273,54.509390285874055,60.81994122846226,91.28957664263251,25.016274021945115,51.36111088019172,69.71558121370148,47.91374597437443,21.295802713307253,103.81091288428904,88.83407309063097,331.21335274160043,44.257709772890344,117.3955599878058,67.0020593887688,75.19778493735103,93.33889202392399,94.54545954219947,29.667997798776295,75.13986932911074,34.975506558860744,96.64653175846941,18.829238534556527,74.03621928002323,57.63698120420415,52.451980371299335,47.06882411131321,38.739234064391624,87.97357325974896,17.2642641348273,86.0974706586522,30.986004175479344,55.99766370134475,29.710409938901922,43.549559765766155,114.98606336320537,67.74986248513345,22.097307772393332,54.70405505091949,75.72204979512756,37.99569709250831,290.2849757753121,56.51530266423285,40.132210846615465,28.774654009259425,20.571155225925423,40.6249515495209,11.09030013338512,98.14943207207637,83.2869799553905,32.693608082606175,37.77891763693779,9.298511616744651,46.72073396544675,24.259450957263027,137.3267300094629,52.079126764737815,56.242063023643624,42.43786395587966,72.23183885434929,62.04132428800517,87.91059396869343,16.18927097053185,69.36909330386226,59.660314235769974,78.75723631070949,46.8190395137502,35.217499282444805,20.84659206656331,31.490990550423213,59.10716420596078,31.838181303425294,74.38177501419455,55.39876639006389,24.63331530192461,22.4435760430061,10.344757072819748,50.66860060600936,75.93690184755292,22.567210737673634,11.013154962189784,105.06854660923933,67.75451513892081,95.25554743134538,102.90718367587202,86.38141300763178,13.631116802562982,67.85566380964126,67.05941967815022,45.83995041815693,19.24271936043865,138.42553637958326,57.66130444729977,122.15582986133852,57.607839510468054,77.60410907187392,34.66736662066177,77.49922767621813,47.84727577380735,62.63799636446731,43.387984628658494,35.19493891881364,55.579202998670596,23.646408132506128,37.214027452042416,31.895395401713554,22.664559911264973,93.69514834900976,35.12431754532277,45.24468883986551,74.04332872953782,32.7773848749564,80.02137039579772,102.67123840771848,71.05251994361704,19.52958002421205,36.47844262475039,66.79876841523087,32.95446149510602,75.8568821745392,4.267140596989033,42.30140807842352,56.83925767714976,47.99910118968243,65.1571550446904
Bacterial invasion of epithelial cells,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,6.0,5.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,5.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,5.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,6.0,1.0,3.0,3.0,3.0,2.0,6.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,5.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,5.0,1.0,4.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0
Bacterial invasion of epithelial cells,8.0,7.0,5.0,3.0,7.0,4.0,7.0,10.0,7.0,7.0,7.0,4.0,3.0,5.0,4.0,9.0,4.0,9.0,4.0,6.0,5.0,5.0,8.0,4.0,8.0,8.0,8.0,2.0,9.0,8.0,9.0,7.0,5.0,5.0,6.0,8.0,3.0,7.0,5.0,7.0,2.0,9.0,3.0,6.0,2.0,5.0,5.0,4.0,3.0,6.0,9.0,8.0,6.0,3.0,9.0,4.0,2.0,12.0,7.0,5.0,4.0,3.0,8.0,7.0,7.0,3.0,7.0,9.0,3.0,6.0,4.0,7.0,3.0,11.0,2.0,10.0,3.0,3.0,5.0,10.0,4.0,4.0,8.0,7.0,4.0,10.0,6.0,6.0,7.0,9.0,5.0,7.0,8.0,9.0,6.0,7.0,4.0,14.0,3.0,9.0,5.0,8.0,9.0,5.0,7.0,3.0,8.0,5.0,8.0,3.0,5.0,9.0,5.0,3.0,7.0,8.0,3.0,4.0,9.0,6.0,5.0,3.0,6.0,3.0,11.0,7.0,3.0,4.0,3.0,5.0,4.0,7.0,6.0,3.0,5.0,6.0,10.0,7.0,3.0,5.0,7.0,3.0,3.0,4.0,2.0,4.0,6.0,2.0,6.0,6.0,3.0,2.0,2.0,7.0,8.0,3.0,2.0,8.0,4.0,7.0,7.0,7.0,3.0,7.0,9.0,5.0,2.0,7.0,9.0,7.0,4.0,7.0,4.0,12.0,5.0,8.0,4.0,5.0,6.0,2.0,3.0,11.0,2.0,6.0,5.0,6.0,9.0,3.0,8.0,7.0,7.0,5.0,6.0,5.0,4.0,7.0,2.0,3.0,6.0,7.0,6.0
Bacterial invasion of epithelial cells,52.86342565496699,82.66425148797819,27.24249058835856,22.581094282176963,51.360854796535556,32.54701295131882,56.84342298227014,118.08019931057494,91.46017971390425,49.89382878905008,39.537529493176535,24.23263856071317,4.389950762004238,45.7979658273743,19.819948573983964,53.89280926805329,21.389515954517343,57.80584230878532,11.69533843805007,70.10441053890284,35.10176006060299,35.10508058998467,70.67271741206001,45.41095406234638,63.10405223458706,63.33571361669132,24.449568562815838,22.565048388306494,66.09744559896369,44.89807909043895,77.71518094308136,53.239764233684554,28.604281881262416,58.86081939032636,27.565176825993174,22.664819970172612,11.179682947372582,62.79108200534661,27.549785354920772,28.686980294928432,4.616410678855214,66.31894730725739,46.611793656276966,54.17494204854148,4.54222117787695,92.24804888232897,26.0140289401832,46.88061141107676,11.005780609650609,26.264729754322094,83.04321379398888,79.81843365900835,46.30687079586284,22.638246635717337,47.94448289019553,22.83264377698236,10.754532111489738,76.0473539323931,15.476234453960858,86.28475776979167,26.745809269447303,29.475500059292212,62.14679472541067,109.37198264066004,68.13674347298512,13.095243714575115,28.544667677295255,44.36790768159074,10.420178915268478,51.47408296726454,33.029994263196876,90.6705731537077,21.524333310123616,56.736296112597685,30.9182312962989,90.18890277544659,21.553043248388803,22.02364204942633,42.38987549788461,65.78415046802351,16.361536905464625,21.629393980703515,54.91608352825506,56.885633361154404,19.52417576350332,90.54078707696509,23.340954657435294,60.90167313912292,30.68732148993376,35.55200217517183,41.31935791345652,50.02969564370108,100.94815860017536,75.11851396132764,29.03035148878042,70.718265532654,11.507811455809282,94.73653892004941,10.318915864225035,45.3283906057618,34.31211254006419,47.39276844564882,51.98109067928281,32.51465723455907,50.1056261071969,10.989950261645346,85.96551786119011,24.63983092221954,50.407850532902586,15.19313351086479,32.75700479277856,87.93245543205624,76.28532962636247,11.58220610137548,32.30482843172266,77.96102736511084,23.794574729384518,16.907549446137626,44.75608727527959,28.355447905154918,16.7514074530518,16.513597517103708,48.265181883508575,11.269064965341329,71.08457134062286,46.25480564577177,23.01483108774159,18.903845955405565,18.01638418011102,26.61659831319906,35.6573193215153,23.535377161394234,31.067299238231413,24.768874982583107,24.6217176784874,39.16662783470609,72.51737083580092,72.23248434120394,15.255007581045371,53.92990072151959,53.68191920047895,4.5421649340905015,11.838929151803931,21.690500188158623,17.404297442515936,15.966168997464486,15.3515215183905,32.3771554367642,34.13365224810517,45.07588002980704,25.46954843169211,25.62163416295156,4.811131463676352,41.383785070795454,74.10004048394809,21.59695080167992,13.708037468260391,62.30385518100785,17.26000903647078,40.83476235395308,60.665440551401474,39.11540217114097,28.908566234082457,56.73760414537969,72.67417528742021,47.88538491725445,34.087192051518215,50.930571336595214,57.74093751639204,108.89664760349635,46.59146497303292,51.52694336195954,22.7433841698917,84.551052690068,32.473320415663835,37.85540669429586,36.851625668618496,21.222821312623772,66.25789712372463,33.26040819930137,15.366643609776984,17.282365136880028,21.6839164389743,63.89490002559113,28.04774461418418,33.8595543030856,45.999442681708544,15.390181907640258,58.475223975955096,60.805458217575755,47.390877616298646,23.033353043113756,59.52539552009014,27.20665578078653,31.459698655349584,26.86143536466803,11.039915534744956,36.59192465867895,33.360250522848006,49.77459545175206,61.91304090528422
Bacterial invasion of epithelial cells,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,6.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,6.0,2.0,2.0,2.0,4.0,2.0,5.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,3.0,3.0,4.0,5.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,5.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,1.0,2.0,5.0,1.0,2.0,3.0,3.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0
Bacterial invasion of epithelial cells,7.0,7.0,7.0,4.0,6.0,6.0,9.0,10.0,7.0,8.0,6.0,4.0,3.0,5.0,5.0,10.0,4.0,9.0,5.0,6.0,5.0,5.0,8.0,5.0,9.0,9.0,9.0,2.0,8.0,8.0,8.0,7.0,5.0,6.0,6.0,8.0,3.0,7.0,4.0,9.0,2.0,10.0,4.0,7.0,2.0,6.0,6.0,5.0,3.0,6.0,9.0,7.0,5.0,4.0,8.0,4.0,2.0,10.0,8.0,6.0,4.0,4.0,9.0,8.0,7.0,3.0,7.0,6.0,3.0,6.0,5.0,8.0,2.0,10.0,3.0,9.0,4.0,4.0,6.0,10.0,5.0,7.0,7.0,8.0,4.0,11.0,7.0,7.0,3.0,11.0,5.0,7.0,7.0,8.0,7.0,6.0,4.0,7.0,3.0,8.0,5.0,8.0,9.0,5.0,7.0,3.0,8.0,6.0,8.0,4.0,5.0,9.0,4.0,3.0,7.0,9.0,4.0,5.0,10.0,7.0,5.0,4.0,7.0,4.0,11.0,4.0,4.0,4.0,2.0,6.0,4.0,8.0,6.0,3.0,5.0,7.0,8.0,3.0,4.0,6.0,8.0,3.0,3.0,4.0,3.0,5.0,8.0,3.0,6.0,6.0,2.0,3.0,2.0,7.0,7.0,2.0,2.0,9.0,5.0,6.0,8.0,9.0,5.0,7.0,9.0,5.0,4.0,7.0,7.0,7.0,6.0,6.0,5.0,11.0,6.0,6.0,4.0,8.0,7.0,3.0,4.0,11.0,2.0,6.0,5.0,6.0,7.0,4.0,10.0,8.0,8.0,3.0,6.0,5.0,5.0,6.0,2.0,4.0,5.0,6.0,7.0
Bacterial invasion of epithelial cells,39.83613592057483,50.810763710857586,34.057414394339276,6.724320097937533,49.049521620190625,16.865041177864573,51.218467701361504,75.9108021286271,61.2458933279053,34.40082545863291,46.05173102647958,21.929207929653167,5.78274211691057,33.317702658134564,37.78019662342155,29.63007452305291,14.980934708515708,44.557608284312856,23.20664042671558,46.58618543736438,38.16809973725372,35.147585521441705,58.8526349809348,16.953897441021006,50.08393253060374,69.98326825949945,22.178705880167982,18.737050649729667,45.00961150056172,43.08893343430428,73.36413564029367,51.24099807322431,11.15272802122083,16.05254766224615,39.833816907032215,28.835032421912434,12.435049522133252,48.19005921927518,11.20375621889437,69.56899110504558,11.995200925734204,48.44339420693938,11.330108463444919,44.778587295917504,10.597279177228438,24.14557647870799,22.626909257692,21.749160238609257,10.38712138360289,26.788697773747316,64.20459642784553,81.82058851854556,33.21446345635272,22.99693429125331,42.511648560717,21.27787778646816,10.754532111489738,59.17774456035449,36.45017549192682,22.08096382000946,16.791237903073238,11.735212266023549,36.00923394388146,87.20126040688906,41.95122093369281,4.551709619010161,20.463670664549973,25.45660238516757,10.833213438048093,53.02166287121875,36.28352211845881,53.034959081643706,13.998293807497921,56.886840556114606,11.346245878304623,67.09994975526017,4.851425067283824,10.752133982324953,37.47407114513784,64.23040830854913,34.3710678288148,9.379519174044585,58.18385089375644,32.99363467360182,24.400996473653027,106.52742554858632,30.9457309062421,27.479321336853403,55.756551411450005,35.478936491126305,20.27257386942727,52.684605157199144,78.44383325219222,36.130554694048676,24.06694642979902,49.24419655137585,17.348065259380753,41.76439825491508,8.510322670331492,24.37817177984685,35.20887932641496,34.741834938953275,29.482992386890132,33.84546293921546,48.675272821648896,6.2743138731819545,62.54645156238085,17.060058872167346,50.504175785479795,5.399630883324323,33.5956082511133,57.19564734596311,34.520914585392845,10.515101671017852,45.14731832657832,69.97680605035514,14.42992459778609,20.78799804969696,44.1299750310925,20.92493867427405,8.887971532811466,4.332839822812224,34.82023562496306,4.243350553785905,71.39642611548364,92.63203436684472,22.980484290818843,14.531028994853989,16.734328527779667,26.023349287368,31.831775257602317,38.902802108304535,26.16577923962309,27.45669924932526,14.955250437451861,16.343942581077876,44.31956571906437,30.61353169503461,16.57692872216718,32.8663862558249,50.767077957580604,13.812346512026611,4.522828705272182,11.296656782088773,23.429847968441475,11.730164455191002,51.89838981823384,10.394105826024918,21.696064183894762,33.055070615402435,10.621912108525919,22.42419203281307,10.344757072819748,38.432562930988695,61.69953413648964,16.457582281266756,13.708037468260391,58.92308376071229,16.119735279314696,41.45380650182383,37.00244601291798,52.89027465701777,23.135131461636874,27.486111120793087,74.0990434721977,34.63988953105789,15.397739587138446,73.18365849935365,33.59549365476977,53.979789262687675,22.54918750157968,42.87871493034654,23.21285469533039,64.49692174340211,33.60336477885758,59.340827334709665,23.8011975395478,10.044629937474292,16.495432225745397,4.5270228479278485,6.018843699013826,22.643992844193786,21.222021699414462,51.9858915859471,11.503518187457484,33.335263015670044,38.48073943842216,21.837642365611757,68.44971918780529,24.729160455248987,32.54561469332741,34.21609678166301,28.744521953842114,24.31483518885473,21.329649569804033,20.304276987455772,11.176059640575843,4.619602925320238,33.48822264007671,23.55198004720478,67.25057244603487
Bacterial invasion of epithelial cells,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,1.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0,3.0,4.0,1.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,6.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,2.0,5.0,4.0,2.0,3.0,5.0,1.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0
Bacterial invasion of epithelial cells,9.0,8.0,7.0,4.0,7.0,6.0,10.0,10.0,7.0,7.0,6.0,4.0,3.0,5.0,6.0,9.0,5.0,7.0,5.0,7.0,5.0,5.0,8.0,5.0,9.0,9.0,10.0,3.0,10.0,7.0,12.0,9.0,6.0,6.0,6.0,7.0,2.0,7.0,5.0,9.0,2.0,9.0,5.0,7.0,2.0,7.0,6.0,6.0,2.0,7.0,8.0,9.0,5.0,5.0,7.0,4.0,2.0,11.0,9.0,6.0,4.0,4.0,9.0,8.0,7.0,2.0,8.0,7.0,3.0,7.0,5.0,8.0,4.0,8.0,3.0,9.0,4.0,4.0,6.0,11.0,6.0,7.0,8.0,8.0,5.0,11.0,6.0,7.0,8.0,11.0,5.0,8.0,8.0,12.0,6.0,7.0,4.0,10.0,2.0,7.0,5.0,8.0,9.0,5.0,8.0,2.0,9.0,6.0,8.0,4.0,5.0,10.0,5.0,2.0,7.0,9.0,3.0,5.0,10.0,6.0,5.0,4.0,6.0,4.0,10.0,8.0,5.0,4.0,4.0,6.0,4.0,8.0,5.0,4.0,5.0,7.0,8.0,7.0,5.0,6.0,7.0,3.0,3.0,5.0,3.0,5.0,7.0,3.0,6.0,7.0,4.0,3.0,2.0,6.0,8.0,4.0,2.0,8.0,5.0,6.0,9.0,7.0,5.0,8.0,9.0,5.0,4.0,7.0,8.0,6.0,6.0,8.0,5.0,10.0,6.0,9.0,5.0,8.0,7.0,3.0,4.0,8.0,2.0,7.0,6.0,6.0,10.0,4.0,11.0,8.0,6.0,5.0,8.0,5.0,6.0,7.0,2.0,4.0,6.0,7.0,8.0
