pathway_name,pathway_embedding,random_embedding_1,random_embedding_2,random_embedding_3,random_embedding_4,random_embedding_5,random_embedding_6,random_embedding_7,random_embedding_8,random_embedding_9,random_embedding_10,random_embedding_11,random_embedding_12,random_embedding_13,random_embedding_14,random_embedding_15,random_embedding_16,random_embedding_17,random_embedding_18,random_embedding_19,random_embedding_20,random_embedding_21,random_embedding_22,random_embedding_23,random_embedding_24,random_embedding_25,random_embedding_26,random_embedding_27,random_embedding_28,random_embedding_29,random_embedding_30,random_embedding_31,random_embedding_32,random_embedding_33,random_embedding_34,random_embedding_35,random_embedding_36,random_embedding_37,random_embedding_38,random_embedding_39,random_embedding_40,random_embedding_41,random_embedding_42,random_embedding_43,random_embedding_44,random_embedding_45,random_embedding_46,random_embedding_47,random_embedding_48,random_embedding_49,random_embedding_50,random_embedding_51,random_embedding_52,random_embedding_53,random_embedding_54,random_embedding_55,random_embedding_56,random_embedding_57,random_embedding_58,random_embedding_59,random_embedding_60,random_embedding_61,random_embedding_62,random_embedding_63,random_embedding_64,random_embedding_65,random_embedding_66,random_embedding_67,random_embedding_68,random_embedding_69,random_embedding_70,random_embedding_71,random_embedding_72,random_embedding_73,random_embedding_74,random_embedding_75,random_embedding_76,random_embedding_77,random_embedding_78,random_embedding_79,random_embedding_80,random_embedding_81,random_embedding_82,random_embedding_83,random_embedding_84,random_embedding_85,random_embedding_86,random_embedding_87,random_embedding_88,random_embedding_89,random_embedding_90,random_embedding_91,random_embedding_92,random_embedding_93,random_embedding_94,random_embedding_95,random_embedding_96,random_embedding_97,random_embedding_98,random_embedding_99,random_embedding_100,random_embedding_101,random_embedding_102,random_embedding_103,random_embedding_104,random_embedding_105,random_embedding_106,random_embedding_107,random_embedding_108,random_embedding_109,random_embedding_110,random_embedding_111,random_embedding_112,random_embedding_113,random_embedding_114,random_embedding_115,random_embedding_116,random_embedding_117,random_embedding_118,random_embedding_119,random_embedding_120,random_embedding_121,random_embedding_122,random_embedding_123,random_embedding_124,random_embedding_125,random_embedding_126,random_embedding_127,random_embedding_128,random_embedding_129,random_embedding_130,random_embedding_131,random_embedding_132,random_embedding_133,random_embedding_134,random_embedding_135,random_embedding_136,random_embedding_137,random_embedding_138,random_embedding_139,random_embedding_140,random_embedding_141,random_embedding_142,random_embedding_143,random_embedding_144,random_embedding_145,random_embedding_146,random_embedding_147,random_embedding_148,random_embedding_149,random_embedding_150,random_embedding_151,random_embedding_152,random_embedding_153,random_embedding_154,random_embedding_155,random_embedding_156,random_embedding_157,random_embedding_158,random_embedding_159,random_embedding_160,random_embedding_161,random_embedding_162,random_embedding_163,random_embedding_164,random_embedding_165,random_embedding_166,random_embedding_167,random_embedding_168,random_embedding_169,random_embedding_170,random_embedding_171,random_embedding_172,random_embedding_173,random_embedding_174,random_embedding_175,random_embedding_176,random_embedding_177,random_embedding_178,random_embedding_179,random_embedding_180,random_embedding_181,random_embedding_182,random_embedding_183,random_embedding_184,random_embedding_185,random_embedding_186,random_embedding_187,random_embedding_188,random_embedding_189,random_embedding_190,random_embedding_191,random_embedding_192,random_embedding_193,random_embedding_194,random_embedding_195,random_embedding_196,random_embedding_197,random_embedding_198,random_embedding_199,random_embedding_200
Insulin signaling pathway,9.0,11.0,12.0,8.0,14.0,11.0,9.0,15.0,7.0,8.0,8.0,9.0,15.0,10.0,9.0,8.0,3.0,11.0,9.0,10.0,8.0,6.0,11.0,14.0,12.0,13.0,10.0,13.0,12.0,12.0,8.0,11.0,13.0,9.0,8.0,10.0,6.0,10.0,5.0,16.0,10.0,10.0,12.0,13.0,5.0,9.0,13.0,9.0,17.0,9.0,9.0,12.0,11.0,4.0,6.0,8.0,8.0,10.0,12.0,3.0,10.0,15.0,15.0,8.0,13.0,12.0,10.0,4.0,13.0,13.0,10.0,9.0,14.0,12.0,11.0,15.0,10.0,9.0,9.0,13.0,8.0,10.0,7.0,12.0,10.0,9.0,8.0,10.0,9.0,11.0,13.0,14.0,8.0,11.0,7.0,9.0,10.0,9.0,14.0,9.0,11.0,14.0,7.0,9.0,12.0,12.0,11.0,9.0,9.0,6.0,10.0,10.0,9.0,11.0,11.0,8.0,7.0,12.0,11.0,12.0,10.0,7.0,12.0,13.0,9.0,9.0,11.0,16.0,11.0,14.0,12.0,4.0,10.0,14.0,11.0,13.0,9.0,3.0,7.0,10.0,8.0,5.0,8.0,9.0,5.0,12.0,11.0,13.0,11.0,12.0,12.0,5.0,14.0,10.0,11.0,6.0,7.0,3.0,4.0,7.0,12.0,7.0,6.0,12.0,7.0,10.0,9.0,11.0,11.0,12.0,7.0,5.0,10.0,11.0,10.0,10.0,7.0,9.0,12.0,13.0,12.0,14.0,6.0,13.0,8.0,11.0,14.0,10.0,12.0,12.0,7.0,8.0,3.0,10.0,10.0,12.0,11.0,11.0,13.0,13.0,7.0
Insulin signaling pathway,574.7139844321862,213.53721450663812,123.63655808478295,114.6143720236827,125.7016042637332,107.54811709747936,488.50219415070706,202.97997163118367,81.93435165114417,131.93546114243424,139.65682851471973,138.25996993555702,131.25315338411443,123.23144520074798,64.48026484641795,379.956301785705,110.44130393792864,655.8248853494712,147.75895816077815,111.4299709193929,223.96396028557135,75.66682630084037,129.93443094278433,138.53662511497123,157.0758489363143,122.42874050873716,73.042172636523,74.27201960745303,236.93543569817047,127.7633096584298,143.281936353996,181.46284510521053,93.92124202016777,106.19474574117568,150.14418740657516,80.1457293269862,46.42501615202069,91.22154656702972,111.67435884408123,184.45710578406394,88.02591018746645,100.93606917908195,96.848726499121,119.5824306069507,76.35969808207139,131.1972978803228,177.27976748306955,91.87447885564379,159.77807448656088,100.8767901236299,161.4587917977698,113.80007951736007,112.3937600376682,47.66148324866821,580.1650211391234,84.42762194040448,109.8749297880568,212.82928743856118,208.04418435024803,37.66201623491639,216.33957293267167,171.23715488684917,117.74462740037549,109.07123601573683,120.93334935010914,181.6556405451204,84.04047935697182,46.2708491063524,92.64319898993017,129.42607768919393,55.176974080161,69.03023594977012,135.4394341906337,107.90519614456858,206.4954841327047,181.95449872200263,93.02745873016929,206.9796286035846,468.01875404579675,152.70922470174162,99.85489053391377,91.71604328653099,107.32426984574336,79.05414930388503,117.90005566748576,134.61229701742107,96.0903980258545,188.4150301274783,103.37905167834654,98.48325947837046,127.90015462312562,185.89579864470755,80.09442339087592,82.02022757293807,100.2300557613817,37.07011688858766,68.41770820737753,117.78348010692488,256.22657357277956,104.40680618254409,60.08796261435505,172.25193455382603,54.44787481936186,80.53823493882513,243.95597485875456,177.9708390516008,72.42801009316085,93.78821669276047,102.86386889645611,59.8081761215828,86.38640723428323,168.15039685762434,117.02603242689698,125.04782584477285,137.3547299764732,161.48863188433668,107.94973339298846,87.07231577594109,107.27799661269226,233.36292662926496,129.116288858608,47.91102981913837,134.76632402349014,106.15022158048792,122.5020504909278,38.0413958178163,54.22389474038267,75.69553257714038,60.71342619908495,82.97722393259355,112.18402955480244,30.25789305578118,149.30620533949528,105.57468667969091,78.82146135883573,149.65393921566482,96.92437515180566,45.30772519186572,68.48688744696472,125.98948048958826,32.572593267867475,36.64115678821487,110.20897872828442,137.81374123031225,63.948897528891436,136.74126088602807,98.44766471432158,113.52384793864218,113.40029253847793,96.64579379150109,259.15148616536726,47.045364414785446,152.59797901061395,81.08672882638379,207.85965183681083,59.26898036078595,54.055804643576074,54.83317613629699,37.103877194324404,118.39843283397992,100.1854207499414,110.94167004477302,109.02729215991086,177.21394763676355,64.64328623773011,99.81719673576222,107.00806748522541,143.05137697720608,187.55853261762755,157.44537328702793,26.419655882477713,27.68577251495034,82.92118151248249,155.61236077023506,78.97722228943846,69.47053658274768,80.62533506226849,136.2254285486695,271.25040211410277,65.42095567862984,176.09912410040576,172.01779840577325,122.605174731835,110.46670846264111,117.82911452315632,105.05055046960513,101.25188422082147,26.645338971835578,152.6980234178739,127.72799562624971,93.46180031825288,94.11302205861449,57.319474428623536,90.26206105498468,58.167784508917286,181.1264383743389,79.73591689659958,172.58074063284974,192.96539997385534,121.64005990888016,151.09666714336103
Insulin signaling pathway,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,2.0,6.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,7.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,5.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,6.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,3.0,2.0,4.0,6.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,6.0,4.0,5.0,4.0,2.0,2.0,4.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,6.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,3.0
Insulin signaling pathway,11.0,13.0,11.0,10.0,14.0,13.0,9.0,15.0,8.0,11.0,10.0,10.0,16.0,11.0,10.0,9.0,4.0,16.0,11.0,9.0,9.0,5.0,12.0,12.0,12.0,11.0,9.0,10.0,13.0,12.0,10.0,11.0,12.0,7.0,11.0,10.0,9.0,10.0,7.0,17.0,13.0,10.0,12.0,12.0,5.0,9.0,13.0,9.0,20.0,12.0,9.0,13.0,10.0,4.0,7.0,8.0,8.0,9.0,12.0,4.0,9.0,13.0,15.0,9.0,15.0,14.0,12.0,6.0,8.0,13.0,9.0,8.0,13.0,13.0,11.0,15.0,11.0,9.0,10.0,11.0,8.0,15.0,8.0,14.0,10.0,9.0,11.0,14.0,9.0,12.0,13.0,12.0,10.0,9.0,8.0,12.0,7.0,9.0,13.0,10.0,11.0,11.0,9.0,9.0,13.0,13.0,10.0,9.0,10.0,9.0,11.0,12.0,10.0,9.0,14.0,8.0,7.0,13.0,11.0,11.0,13.0,10.0,12.0,11.0,9.0,7.0,17.0,15.0,11.0,12.0,14.0,5.0,11.0,13.0,12.0,12.0,10.0,3.0,8.0,13.0,7.0,4.0,8.0,10.0,5.0,10.0,13.0,10.0,14.0,13.0,14.0,8.0,13.0,11.0,12.0,8.0,8.0,4.0,4.0,9.0,12.0,7.0,7.0,13.0,8.0,11.0,8.0,14.0,12.0,12.0,8.0,6.0,9.0,11.0,10.0,10.0,8.0,11.0,12.0,13.0,12.0,15.0,6.0,10.0,8.0,11.0,15.0,11.0,12.0,9.0,8.0,9.0,3.0,11.0,12.0,11.0,12.0,13.0,10.0,13.0,9.0
Insulin signaling pathway,120.81683594952794,80.36202809654844,79.75933158304527,36.737854017269306,107.52459530971687,175.57809007700845,121.00553388818167,63.344288935048205,23.96088388692543,64.5684550934608,130.9723701622424,88.04617363960521,90.15376876419789,84.15752527913583,72.6691782187825,62.77513673449593,32.76053034851783,172.6761611312475,120.36472928926459,144.86230945011476,136.85973811159033,55.87111735617359,99.47760618117069,123.32997496181584,127.37238540261569,117.28121183480877,55.22170664633008,128.6674644916584,98.44465584458071,137.1442930755488,68.28789741663205,156.14855545804653,114.84691638661529,68.30264609584125,110.03263587946321,78.59593080721804,77.04756370081029,69.55337250153946,25.906550041652714,154.97796390090625,88.96890042056711,61.300821079855325,108.94300630473383,147.0857943976993,74.47530822075474,106.15451310803323,110.83551024104597,54.65259673283538,131.96654124625786,99.18252826412818,97.89802272651299,51.26630566406734,151.11466675742648,24.322811176590687,110.0441868187476,34.96741652373906,65.82113516798235,131.88823284171872,134.9843985146227,22.54519432518179,167.8705281474276,187.4984513173682,110.50535585754739,69.03075620726244,89.84387914860105,161.41337660716812,67.48946957506752,30.224938572263873,25.933682176494862,96.03328227441799,34.83671740970365,84.58000924176201,134.51388328709933,146.8456139735822,180.52276308422336,124.09820719593827,120.42002090232069,111.2897043127729,148.51196160027413,90.5731139510865,46.13302041273677,82.29711748015437,130.03534045141714,87.49908000602044,95.8219466772119,92.05529593378434,85.17563033488791,64.98839662782987,79.89853320765918,111.15024354718906,102.0983118001991,87.96599839096503,43.8435990070572,106.89301942971782,90.51855502522902,70.85128052686215,42.1098437538277,82.36457121645523,204.55767646791276,51.64996321990267,69.54620410836866,119.34945485566016,60.18593927977455,34.3055044497918,86.6720054905929,89.6025304433067,43.67089986137629,118.46991516058239,67.88588939182877,45.343087098154186,43.726511602907564,219.8568960093851,57.73717071765888,85.12949012192308,76.82341838719623,84.02555727399182,72.7395497116861,89.72190154307742,102.38267110807585,223.599601775518,134.27689202932865,59.58482283258445,162.23912524420626,32.852513494080426,83.2586788545124,49.160145070193536,66.3677226040802,55.42672773867886,62.649719191587806,92.53890138751416,64.35171987806763,72.02522696438366,124.4139024064641,115.06860481088808,76.07623776438723,84.97119399533051,98.13786221009286,32.4946209176923,89.5199642637217,107.50754265715489,36.37420375214989,34.205545810048534,55.63361300705157,106.1977776520498,42.70439996337876,163.965335014814,163.8360615957784,56.314512141965594,62.18306809016637,105.33974237837809,174.79399960712684,43.061293346328554,148.58358129042566,90.08266191068911,75.56313004893919,18.907556013945293,53.20188522699266,31.09440185738601,34.15077071569413,75.76389242608401,89.41294525034604,82.23787854231578,26.346195514000534,115.442788344451,49.487545588894996,81.60501365354028,70.98408227053129,112.06847425117047,152.1896097238322,191.67171234610083,64.2326327719523,36.22867495387294,95.58372244904055,106.25446227053449,90.95597227724298,65.45743570621009,81.68593817177322,86.6862886705186,118.19716132310276,91.88447546016356,123.86535765897354,199.5557432601278,41.79829475537317,92.69764765379594,69.71931062465359,63.32194165966233,85.7540887729395,63.55299200706894,65.03553956044996,131.4048664789224,80.55028502025971,77.8570142832152,32.732122934778495,102.11456135094973,62.57520654495824,154.89023406905457,73.84619224636417,132.1726922378609,108.7695908646473,94.8980436971186,74.66656706995659
Insulin signaling pathway,3.0,4.0,3.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,6.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,6.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,8.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,4.0,5.0,6.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,7.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,6.0,5.0,3.0,2.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,8.0,5.0,4.0,6.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,5.0,6.0,5.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,6.0,5.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,6.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,7.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0
Insulin signaling pathway,12.0,14.0,11.0,10.0,12.0,12.0,11.0,13.0,7.0,9.0,10.0,11.0,16.0,10.0,9.0,9.0,4.0,14.0,10.0,10.0,9.0,5.0,12.0,11.0,11.0,12.0,10.0,10.0,11.0,16.0,10.0,10.0,13.0,10.0,9.0,12.0,9.0,10.0,7.0,17.0,11.0,10.0,11.0,12.0,6.0,10.0,13.0,9.0,15.0,11.0,7.0,12.0,10.0,8.0,10.0,8.0,10.0,9.0,13.0,5.0,10.0,13.0,14.0,9.0,13.0,12.0,11.0,6.0,12.0,12.0,10.0,9.0,13.0,13.0,12.0,12.0,11.0,10.0,13.0,12.0,8.0,14.0,10.0,14.0,12.0,10.0,9.0,10.0,9.0,11.0,13.0,13.0,11.0,8.0,9.0,9.0,11.0,10.0,12.0,8.0,11.0,10.0,10.0,12.0,11.0,12.0,13.0,10.0,11.0,8.0,12.0,12.0,10.0,10.0,11.0,10.0,8.0,14.0,10.0,14.0,11.0,8.0,13.0,13.0,10.0,8.0,12.0,15.0,10.0,12.0,15.0,5.0,10.0,13.0,11.0,15.0,11.0,4.0,7.0,14.0,8.0,3.0,8.0,9.0,5.0,11.0,13.0,9.0,12.0,12.0,16.0,7.0,12.0,11.0,12.0,6.0,10.0,4.0,4.0,9.0,16.0,7.0,7.0,12.0,10.0,11.0,9.0,15.0,13.0,11.0,6.0,5.0,9.0,11.0,9.0,10.0,9.0,12.0,12.0,11.0,11.0,14.0,6.0,12.0,8.0,15.0,15.0,10.0,15.0,9.0,7.0,11.0,4.0,12.0,12.0,11.0,12.0,11.0,10.0,15.0,8.0
Insulin signaling pathway,123.44441968921117,58.92464598082674,57.068808401687356,32.649810710175565,103.08681577355117,89.2509783838796,36.548010430704515,42.28159259073807,29.88297166870496,51.46496007086729,86.87352260463368,56.1092561334223,70.90781729989402,79.85628610786792,52.81025346599766,32.324997512154525,24.085605785708218,154.5620952044489,108.79134207097817,66.84825326259156,107.13459133047049,22.214000233886743,41.26778674917705,94.87699283375535,80.28542000909316,76.34856284861503,73.05811179557092,117.99728550313611,91.22273176892315,110.7344371427642,52.63331955099633,125.91004901710528,53.906593957260306,95.05607788195658,63.798974014966404,58.70955932008445,48.92143259905038,39.21041140675762,15.260163196787392,156.44458073829884,80.56183122657391,22.766157687943746,70.60749617452987,114.06592887341729,26.88150398718369,95.21646413773692,156.4380716651157,37.57833656129189,108.54380207062114,84.77051471566215,86.43187727138826,59.68746278920429,77.6617223892666,52.32621212015848,58.01369843722936,32.98797802534725,55.67130839581033,88.52632837773307,181.2614877846119,25.16501253497915,98.53393091883642,65.87160790959463,80.07939542714647,77.59812163283426,153.71193629576763,121.20939889977862,65.14150834411136,29.57262822706279,62.534030053963576,64.0325742590457,42.532029382092716,43.76082612030909,104.10615831741173,130.81379624800869,222.99158472375686,186.0783433792859,67.393392827791,78.66718435337548,114.5217794729445,88.88423429522707,26.780329308783386,75.08492240199406,85.40859040000889,65.89269465793429,113.24219341981212,88.11973798545812,44.1851541596021,60.460882788157626,69.05266691730556,51.66181820694582,87.69802910559957,90.29254465029352,35.10091205359831,98.92859893128949,78.78746427998112,48.36695900432201,52.78308826509689,63.09159182424207,177.39464963704398,56.26561775800914,49.411911496782324,45.01377526494428,78.10755781379423,37.13716562228473,83.9229442769126,82.20176382159353,31.4733553635532,76.99002287949183,53.458696219592774,36.771459460152556,46.20569478965962,125.45496119824087,36.517588309371774,86.7977676428291,57.21904829613849,77.20993538093363,45.59947693356094,60.851667197402094,84.72158075679434,163.19679027397063,150.20892951696845,25.916131176717943,124.43925912376282,35.30052367740103,46.995425213253554,30.81850592262383,48.51507021785145,85.97383811048621,46.58542886592469,69.58045604060099,35.01326154293711,30.172415169155194,83.67830535302281,99.96558590568938,61.759811872942116,71.99179073002686,84.404186276698,11.126040881743478,36.255586839644586,94.96272588901843,64.44243802061315,32.32235811219242,36.809113486430455,51.64692157190068,35.84702801915332,100.12024505393958,139.50284413228098,79.94481941654132,67.72700840575541,101.71917122723642,149.70277479192566,40.99127306612284,111.571786026054,79.33165801527032,90.85015645475184,15.723055845986304,54.00272158089619,28.67974928981981,33.27198631218641,107.97685165579715,47.78217046170603,55.22119647186571,27.579363906208346,86.18398686935821,28.2987928614118,67.4910799497916,81.6543247261645,72.01142586999583,192.50841390072088,115.72561894448651,21.396524275467893,41.576537517552666,93.51991517102113,115.77425901791446,37.17872644478165,42.994183382427934,43.71969068286006,61.132890646955644,128.33735340042105,59.264699489007796,138.0511216168213,154.29135494402982,51.8977493251664,45.854999871133785,26.49644649795057,68.30571141378915,70.33306188545075,82.27905619864339,66.96854628594414,122.81161567170895,48.534008267522786,73.37983949252086,12.228159742385262,70.01767384958065,57.18963304424005,119.57250513875061,66.80693742910196,49.70224318816448,136.66886398337869,113.3853104748336,99.62444847919896
Insulin signaling pathway,3.0,3.0,4.0,6.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,6.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,6.0,2.0,6.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,6.0,6.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,9.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,7.0,6.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,7.0,5.0,4.0,3.0,3.0,2.0,5.0,4.0,2.0,6.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,6.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0
Insulin signaling pathway,11.0,14.0,11.0,10.0,12.0,12.0,11.0,13.0,7.0,11.0,9.0,11.0,14.0,13.0,9.0,10.0,4.0,13.0,10.0,8.0,9.0,4.0,12.0,14.0,11.0,14.0,10.0,11.0,16.0,16.0,10.0,12.0,15.0,8.0,13.0,12.0,10.0,11.0,8.0,17.0,11.0,9.0,14.0,15.0,6.0,9.0,12.0,7.0,14.0,11.0,9.0,14.0,12.0,8.0,9.0,9.0,8.0,10.0,12.0,5.0,11.0,14.0,14.0,9.0,15.0,13.0,13.0,3.0,12.0,12.0,9.0,8.0,18.0,12.0,11.0,11.0,9.0,9.0,11.0,12.0,10.0,12.0,9.0,12.0,12.0,10.0,9.0,12.0,10.0,11.0,14.0,13.0,12.0,9.0,8.0,10.0,7.0,11.0,15.0,9.0,11.0,16.0,10.0,10.0,13.0,12.0,12.0,7.0,14.0,9.0,12.0,13.0,10.0,10.0,13.0,10.0,7.0,12.0,10.0,13.0,10.0,9.0,14.0,13.0,10.0,8.0,10.0,15.0,12.0,15.0,13.0,5.0,11.0,14.0,13.0,14.0,10.0,4.0,6.0,10.0,10.0,5.0,10.0,9.0,5.0,11.0,11.0,10.0,12.0,12.0,14.0,7.0,11.0,13.0,13.0,7.0,10.0,5.0,4.0,9.0,15.0,8.0,5.0,14.0,10.0,12.0,10.0,13.0,13.0,12.0,8.0,6.0,12.0,11.0,11.0,11.0,7.0,10.0,12.0,11.0,9.0,12.0,8.0,12.0,9.0,14.0,14.0,11.0,11.0,10.0,10.0,9.0,4.0,9.0,12.0,11.0,13.0,14.0,9.0,15.0,10.0
