pathway_name,pathway_embedding,random_embedding_1,random_embedding_2,random_embedding_3,random_embedding_4,random_embedding_5,random_embedding_6,random_embedding_7,random_embedding_8,random_embedding_9,random_embedding_10,random_embedding_11,random_embedding_12,random_embedding_13,random_embedding_14,random_embedding_15,random_embedding_16,random_embedding_17,random_embedding_18,random_embedding_19,random_embedding_20,random_embedding_21,random_embedding_22,random_embedding_23,random_embedding_24,random_embedding_25,random_embedding_26,random_embedding_27,random_embedding_28,random_embedding_29,random_embedding_30,random_embedding_31,random_embedding_32,random_embedding_33,random_embedding_34,random_embedding_35,random_embedding_36,random_embedding_37,random_embedding_38,random_embedding_39,random_embedding_40,random_embedding_41,random_embedding_42,random_embedding_43,random_embedding_44,random_embedding_45,random_embedding_46,random_embedding_47,random_embedding_48,random_embedding_49,random_embedding_50,random_embedding_51,random_embedding_52,random_embedding_53,random_embedding_54,random_embedding_55,random_embedding_56,random_embedding_57,random_embedding_58,random_embedding_59,random_embedding_60,random_embedding_61,random_embedding_62,random_embedding_63,random_embedding_64,random_embedding_65,random_embedding_66,random_embedding_67,random_embedding_68,random_embedding_69,random_embedding_70,random_embedding_71,random_embedding_72,random_embedding_73,random_embedding_74,random_embedding_75,random_embedding_76,random_embedding_77,random_embedding_78,random_embedding_79,random_embedding_80,random_embedding_81,random_embedding_82,random_embedding_83,random_embedding_84,random_embedding_85,random_embedding_86,random_embedding_87,random_embedding_88,random_embedding_89,random_embedding_90,random_embedding_91,random_embedding_92,random_embedding_93,random_embedding_94,random_embedding_95,random_embedding_96,random_embedding_97,random_embedding_98,random_embedding_99,random_embedding_100,random_embedding_101,random_embedding_102,random_embedding_103,random_embedding_104,random_embedding_105,random_embedding_106,random_embedding_107,random_embedding_108,random_embedding_109,random_embedding_110,random_embedding_111,random_embedding_112,random_embedding_113,random_embedding_114,random_embedding_115,random_embedding_116,random_embedding_117,random_embedding_118,random_embedding_119,random_embedding_120,random_embedding_121,random_embedding_122,random_embedding_123,random_embedding_124,random_embedding_125,random_embedding_126,random_embedding_127,random_embedding_128,random_embedding_129,random_embedding_130,random_embedding_131,random_embedding_132,random_embedding_133,random_embedding_134,random_embedding_135,random_embedding_136,random_embedding_137,random_embedding_138,random_embedding_139,random_embedding_140,random_embedding_141,random_embedding_142,random_embedding_143,random_embedding_144,random_embedding_145,random_embedding_146,random_embedding_147,random_embedding_148,random_embedding_149,random_embedding_150,random_embedding_151,random_embedding_152,random_embedding_153,random_embedding_154,random_embedding_155,random_embedding_156,random_embedding_157,random_embedding_158,random_embedding_159,random_embedding_160,random_embedding_161,random_embedding_162,random_embedding_163,random_embedding_164,random_embedding_165,random_embedding_166,random_embedding_167,random_embedding_168,random_embedding_169,random_embedding_170,random_embedding_171,random_embedding_172,random_embedding_173,random_embedding_174,random_embedding_175,random_embedding_176,random_embedding_177,random_embedding_178,random_embedding_179,random_embedding_180,random_embedding_181,random_embedding_182,random_embedding_183,random_embedding_184,random_embedding_185,random_embedding_186,random_embedding_187,random_embedding_188,random_embedding_189,random_embedding_190,random_embedding_191,random_embedding_192,random_embedding_193,random_embedding_194,random_embedding_195,random_embedding_196,random_embedding_197,random_embedding_198,random_embedding_199,random_embedding_200
Oxidative phosphorylation,26.0,10.0,12.0,13.0,13.0,14.0,12.0,14.0,8.0,11.0,15.0,10.0,11.0,12.0,12.0,13.0,3.0,11.0,14.0,16.0,14.0,8.0,10.0,11.0,10.0,10.0,10.0,10.0,6.0,10.0,13.0,11.0,10.0,9.0,9.0,8.0,15.0,11.0,12.0,11.0,10.0,11.0,13.0,9.0,11.0,10.0,8.0,9.0,12.0,6.0,12.0,5.0,10.0,15.0,11.0,9.0,13.0,11.0,15.0,13.0,12.0,11.0,10.0,11.0,17.0,13.0,15.0,13.0,11.0,14.0,9.0,16.0,12.0,14.0,11.0,12.0,17.0,14.0,13.0,10.0,13.0,12.0,11.0,11.0,12.0,11.0,8.0,12.0,11.0,11.0,7.0,11.0,12.0,9.0,12.0,13.0,16.0,9.0,12.0,8.0,7.0,8.0,11.0,8.0,8.0,13.0,9.0,11.0,11.0,11.0,13.0,14.0,14.0,11.0,18.0,8.0,11.0,14.0,11.0,12.0,14.0,14.0,20.0,15.0,13.0,8.0,14.0,11.0,11.0,11.0,10.0,8.0,12.0,11.0,11.0,14.0,9.0,6.0,9.0,10.0,11.0,11.0,11.0,9.0,17.0,12.0,8.0,8.0,8.0,9.0,10.0,12.0,11.0,12.0,12.0,15.0,13.0,15.0,9.0,17.0,7.0,11.0,16.0,8.0,12.0,13.0,11.0,15.0,8.0,16.0,16.0,8.0,7.0,11.0,11.0,8.0,14.0,15.0,12.0,13.0,11.0,16.0,7.0,9.0,12.0,12.0,12.0,12.0,11.0,11.0,13.0,16.0,14.0,11.0,8.0,9.0,17.0,12.0,9.0,15.0,5.0
Oxidative phosphorylation,1041.9227376736617,166.73143189632697,108.896904309505,246.79299664700113,185.70491743623043,44.275791455095785,116.96956519686566,155.7198046106885,110.73534205081454,91.21331188480777,111.62103223994473,93.63680274104254,125.98825742837562,228.0097752019817,116.98843943864271,125.79639558302058,63.505552483181596,63.2756833264315,186.6842033913883,138.00857524047757,67.80512380096593,120.90922597534043,163.4376544248427,33.506648994684994,218.15961680441544,155.37873804879695,137.87697147297388,69.07023607382638,82.58151293451532,71.84951336789779,180.5477450716366,108.54219566684874,73.70147941667395,175.52578898110423,589.7982452123272,123.86017130618704,83.05340840789155,106.31619146947071,97.58376409995128,213.09444936524918,104.771837769641,116.66740908726848,141.12251004753594,155.1812047176797,48.20173928039192,145.79427804157572,75.98467928176052,600.9403955658864,135.11377961892683,130.01050630038168,150.56862326796016,106.51112219032683,63.1301423302228,343.5303833596701,142.21117646202717,58.97093832708676,148.57301353661688,236.6717517055436,258.6521862644075,218.43821733832374,193.50447912274382,208.83727446171864,119.18376310811598,111.32946246221803,163.54693242274922,137.61575071001465,101.82682923421977,125.18174206136035,103.29327938687177,293.0618806159416,98.35005280672256,136.14320756769715,115.23429896437136,109.00563548426781,99.72223548688605,82.10015598436145,219.14567801575552,143.76731819932598,212.56835745301856,204.56643460536174,100.13605568392614,122.01311557203222,164.73725648053818,103.96707365225893,88.89280760058323,212.22153160403147,235.93813925703168,169.074251676775,106.84685176361161,167.72887195024614,46.71745529659982,112.84233529002368,135.89272945657473,78.12071649500963,172.33862061283926,96.13893197212056,125.52535578935762,104.02931977226154,85.50448410378857,181.4394941328951,139.19440633500844,79.14339611182918,121.09440586049152,109.37503503794144,104.71568984445304,368.6198507087936,254.67053831763886,195.6685323348194,98.71948152356599,160.37253587890012,139.3887478007224,144.98534116515728,108.15257820665533,157.1375402522633,175.9780865099985,108.47119573484309,118.80399085811561,134.01160850700296,84.58069846136733,144.97546949472766,193.64897116286605,197.73782158100772,140.7228056671044,108.15455688464509,154.82950667820072,152.48106329536978,211.52075725134696,106.9027069587562,160.804181638604,175.79875670879272,139.2393198569487,216.50711508529557,126.26400428381481,172.00123006657986,122.26615756923559,246.11335253480087,101.72610072363877,44.58893902971586,140.12329533782926,83.37555459109733,144.42434229329322,117.11778633493601,150.79205857805465,209.1432684256146,88.42972469575032,165.00668490845504,128.4163559636992,95.99255425806183,64.01333206774719,86.717363612295,336.41419063865084,94.87845215301193,252.12212846052856,140.17280541843334,82.26029449301176,291.0243359454309,184.95139643725565,96.60739041322022,191.35341285039038,121.84602074667959,75.26961523815038,168.9893320471675,134.14102999722215,55.9287338155875,104.75263200628832,108.53646435975425,255.85643549618018,115.21448240245093,100.90756937876453,104.94907898316126,219.76053186287393,65.77144469208095,121.70960235749847,75.55788370351661,113.36172890359339,41.90861392013333,142.19264778992195,208.66494523769,192.61803193244725,118.37424406468296,73.85570615054415,141.42232079551502,163.18748519789764,161.2732769598174,323.2394958700912,109.08938610758292,143.1783745957269,122.93959400048931,248.80118971568712,87.63163136441767,129.40934507836698,256.8002105791021,124.8698008071523,109.19239695251196,73.36043350635886,69.56110596357999,199.3235789988838,107.36264185118166,87.89795487304771,67.11655281283774,161.6642617857343
Oxidative phosphorylation,3.0,2.0,5.0,5.0,3.0,8.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,7.0,3.0,5.0,6.0,2.0,4.0,8.0,4.0,4.0,3.0,5.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,7.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,6.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,8.0,6.0,3.0,4.0,4.0,4.0,2.0,4.0,6.0,3.0,4.0,6.0,5.0,3.0,3.0,8.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,6.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,6.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,7.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0,5.0,5.0,7.0,6.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,6.0,4.0,5.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,6.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,2.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0
Oxidative phosphorylation,30.0,11.0,11.0,15.0,12.0,16.0,16.0,15.0,9.0,12.0,16.0,10.0,11.0,14.0,11.0,14.0,3.0,12.0,14.0,14.0,12.0,7.0,12.0,14.0,12.0,12.0,9.0,13.0,10.0,10.0,14.0,11.0,12.0,10.0,9.0,8.0,15.0,12.0,12.0,11.0,12.0,10.0,11.0,9.0,11.0,10.0,11.0,10.0,11.0,8.0,12.0,5.0,14.0,16.0,12.0,10.0,15.0,12.0,15.0,11.0,15.0,12.0,10.0,12.0,16.0,10.0,11.0,12.0,11.0,16.0,12.0,13.0,12.0,15.0,14.0,14.0,15.0,13.0,12.0,10.0,10.0,10.0,13.0,11.0,12.0,12.0,10.0,11.0,12.0,14.0,7.0,12.0,15.0,10.0,14.0,11.0,14.0,8.0,10.0,8.0,10.0,8.0,12.0,8.0,8.0,13.0,10.0,11.0,12.0,12.0,13.0,17.0,13.0,12.0,17.0,9.0,10.0,13.0,11.0,13.0,13.0,13.0,15.0,14.0,10.0,9.0,11.0,14.0,13.0,13.0,10.0,13.0,11.0,12.0,12.0,16.0,14.0,9.0,10.0,8.0,15.0,11.0,11.0,12.0,14.0,13.0,10.0,10.0,7.0,10.0,11.0,12.0,12.0,13.0,17.0,14.0,15.0,12.0,10.0,15.0,6.0,11.0,17.0,10.0,10.0,10.0,12.0,11.0,9.0,13.0,17.0,7.0,9.0,11.0,13.0,5.0,13.0,17.0,12.0,13.0,9.0,19.0,8.0,11.0,17.0,12.0,10.0,13.0,12.0,12.0,14.0,13.0,17.0,11.0,9.0,10.0,13.0,9.0,10.0,12.0,6.0
Oxidative phosphorylation,1014.7906502523269,133.581577979155,58.89174661327724,127.86788526466285,158.73344470212996,44.58906078460467,101.14686000464474,110.4054062376809,51.322690225419585,72.42683627962842,200.27092784537706,45.51092992576668,93.37949759136674,156.925797727341,134.4326243615784,86.69087912271308,21.37719599732317,107.67057675917894,82.31867595768209,103.90427451522964,70.67000625126715,66.32360311206021,105.3223438745213,77.61681216008672,64.14984900151207,123.70904512638919,113.4899958316719,99.65004533275817,48.56547493734349,94.09693614781878,124.65428415009607,68.54257345720968,78.101694566162,150.01931458832854,169.3573142421455,53.65312351320216,83.95077124465602,79.91251896783551,98.55805193010467,173.84249972705572,92.87559915591928,91.35885357445366,139.54980063623205,143.56062948195625,46.00272174233581,107.48254626780715,41.955231734208176,26.415353224690744,97.49207322267503,46.561224864088366,127.68552745291443,58.020439402150956,94.11467015040775,128.7524074824622,71.79321181477317,90.06125179966935,181.71707928066834,187.94950499743427,244.64073392372183,136.4004873337721,201.9596515370201,105.82568658160054,64.82275664933833,105.94671883758154,197.77078305219493,175.9801158292464,51.051264495838154,127.62284010678704,61.904906171156426,193.15412736366352,108.86312218148784,105.8881791834109,97.88160764553494,123.89218992618318,86.9495749909028,102.50393413245683,188.6967710997407,65.60446991446503,146.38557762812982,129.57344285148574,75.99684790986647,67.52110199126557,139.67808659177706,82.06057560385483,64.8608963567704,100.02998120993107,168.44645770260868,159.3118162635555,25.686089280905072,157.60580022509058,39.67519043740019,88.90461439760006,141.96785641520208,66.31250265787952,85.98572961265717,85.84016148132655,130.94517546710324,87.54145245715034,117.42116394242684,88.10121124657749,67.47743157036047,39.61315267433316,86.53737793669676,118.8726098370054,89.21011502280011,216.36786443309848,176.49399076865126,177.3303310156471,51.90072601809666,156.99212341640347,144.48108747174558,120.62738454997263,79.28140671447147,124.40157917445575,187.27271125149701,92.74024036083279,85.42130843344192,145.41338781024197,71.80156435083096,108.53675785072157,139.87420952070278,158.18354673242357,111.95229063764764,148.4059371230648,99.63701807759512,55.33013985735062,149.21111802021753,121.69841131917298,136.02993315393726,176.38446656032204,137.35972058198814,63.752423581659,98.54682070892228,111.1866285036177,142.56511823679355,220.1904955893755,94.17298614884226,56.75173326812532,142.20032554510533,80.63971697174665,96.47171023258456,73.65189166603187,110.89799888188382,134.34896538396956,138.8256414075351,131.53287154702102,78.10647334944814,95.81804363390022,55.28013620908084,49.10164130674797,180.84955058751007,109.73211402919415,203.83958665108503,99.69608790101857,85.69034948343499,205.64694862980107,129.77620137577205,60.74620566105988,51.47815473782506,88.39875125283307,50.30759255008233,99.17302572781513,159.50566895482393,60.430464480458,40.4968906577506,73.01241951482407,174.11782389885877,94.66662348831636,106.00383032044404,104.94133854037386,183.22106809408055,67.42771276216064,61.88303734023377,85.74411568867909,106.39033436803324,51.30151313071585,125.22762981688602,170.5535286659355,150.53740271087526,135.2978816923066,75.81365773831342,109.34573519252953,109.9631200414513,67.84929911960077,189.8354526780715,94.84436995047821,116.5033962012514,142.17122640762668,240.2931069949043,125.69744544422372,151.25744010586314,148.26595046367802,180.4487561957067,91.06303999977752,78.66347325701906,46.12483343138142,124.20414531655754,116.54441721224676,121.67402772346763,58.66528631962259,26.968439334679047
Oxidative phosphorylation,3.0,3.0,4.0,5.0,3.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,6.0,3.0,6.0,7.0,2.0,4.0,5.0,5.0,3.0,4.0,6.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,8.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,6.0,3.0,3.0,4.0,4.0,5.0,6.0,4.0,3.0,4.0,5.0,6.0,4.0,5.0,6.0,4.0,4.0,3.0,4.0,7.0,6.0,2.0,3.0,5.0,5.0,3.0,4.0,6.0,4.0,4.0,5.0,6.0,3.0,3.0,7.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,3.0,7.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,4.0,6.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,5.0,6.0,7.0,7.0,3.0,2.0,5.0,5.0,4.0,4.0,5.0,3.0,7.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,6.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,3.0,6.0,5.0,5.0
Oxidative phosphorylation,24.0,11.0,15.0,13.0,13.0,16.0,14.0,11.0,9.0,10.0,19.0,10.0,10.0,12.0,12.0,11.0,4.0,12.0,13.0,11.0,11.0,7.0,14.0,11.0,11.0,11.0,13.0,11.0,8.0,10.0,13.0,11.0,13.0,12.0,11.0,9.0,16.0,12.0,11.0,11.0,12.0,12.0,11.0,10.0,10.0,11.0,12.0,8.0,12.0,7.0,13.0,5.0,12.0,14.0,11.0,10.0,14.0,11.0,17.0,13.0,11.0,12.0,10.0,9.0,16.0,11.0,11.0,12.0,12.0,15.0,11.0,14.0,11.0,16.0,12.0,11.0,16.0,14.0,14.0,10.0,14.0,10.0,10.0,10.0,11.0,12.0,10.0,10.0,12.0,12.0,7.0,10.0,11.0,10.0,13.0,12.0,17.0,9.0,10.0,8.0,8.0,7.0,13.0,9.0,9.0,12.0,10.0,10.0,10.0,11.0,11.0,16.0,15.0,12.0,15.0,7.0,11.0,16.0,11.0,11.0,15.0,14.0,15.0,16.0,12.0,11.0,15.0,14.0,14.0,13.0,12.0,11.0,10.0,10.0,12.0,13.0,11.0,9.0,9.0,8.0,10.0,10.0,13.0,11.0,16.0,12.0,9.0,9.0,8.0,10.0,11.0,11.0,13.0,16.0,15.0,15.0,14.0,13.0,10.0,15.0,7.0,10.0,15.0,10.0,10.0,12.0,13.0,21.0,12.0,15.0,16.0,6.0,8.0,13.0,16.0,8.0,15.0,15.0,11.0,11.0,11.0,15.0,10.0,12.0,15.0,14.0,13.0,12.0,12.0,15.0,11.0,14.0,13.0,12.0,9.0,10.0,17.0,9.0,10.0,14.0,4.0
Oxidative phosphorylation,895.2642068309101,135.0850882440698,53.78761123644288,137.64829868627726,167.3051738501048,33.30804180500006,37.96737049772649,111.72249840070684,35.67902595007599,80.81504824222218,104.55758214708068,38.42707778787863,105.03193574092536,107.0968789293099,80.17344553023452,79.98176643697826,10.44073480254415,84.29791891228362,119.18372488871043,116.97413082985281,78.93820401205994,73.16326141964718,105.34127538521408,67.96611680319913,64.34828102134445,71.87765827757485,89.82636478712632,45.866648579804306,44.933803655756535,115.47966971643879,133.25534400869253,81.39307292061218,43.43336100637184,170.3916361217757,113.26426166979448,32.92382507464726,93.86001428339097,92.94094223411642,68.72513981248841,87.53847496816023,84.08839535913685,71.3492842030647,115.97145813553682,99.84912939657475,64.64947727135596,35.48493105932326,55.5926782588515,14.057163081306719,144.34252725837587,29.239000477843717,104.35183744754254,35.507904150428985,72.88008981860577,125.70711521698428,72.17612740258423,98.61999701494075,128.63029062596763,122.0786371595612,183.74450305092262,82.02689918802255,185.55270007938506,156.54182250226077,65.24933792073918,79.8122917639029,107.22363643155903,112.98911913731165,66.78167556220595,104.64145709073931,63.62371074965324,193.5893684150823,107.29453762815986,60.85712623367217,91.18700576089552,114.98859163776945,46.229244715199044,47.61456028325908,184.17689560729679,68.81892720152071,140.9580795319803,96.31334494154468,42.52613474924361,62.58035552493789,170.3006112999812,111.31915695707406,86.96880186498032,136.09549783040566,96.62503550299972,64.6259953962869,34.17414898400781,136.979933880188,45.672479139359666,97.59006648988377,91.82828063773434,74.53005258656913,80.95296018004379,71.05990540460283,102.23868011899896,35.87940595562639,90.50044822704541,68.79371066106987,53.317517672795454,32.80812869949803,56.29716189443721,74.17202549222253,70.77710991930307,87.75191639261793,81.2135298768469,97.4652965867455,47.79729324966502,176.32352148166896,103.16298508552832,95.0840924356784,53.969312033933555,52.781704354866605,152.53630245789967,77.2151184590273,91.44935095794877,102.21919480302677,56.54583795455661,88.08770343086252,164.14066655831795,103.30280605761186,112.6288157813716,124.93922781822616,156.8698489527404,55.7647961037466,89.39367459638629,104.76269186561804,106.66257795831503,148.49187716823354,110.29764269358793,71.55374231755066,94.89782856146877,124.96336107915691,108.77505001652968,183.76903582111515,101.37185502030276,44.614563677924636,62.81889179433058,68.29402379160797,92.90415476131716,37.98566108818718,84.236341658047,120.04439699358699,57.22897189040077,101.91250706633274,43.6765865302394,54.636675207729304,72.48775646393747,49.65727000384326,137.87633655818766,81.66883304286394,110.61039156148354,89.10360693164135,50.950599703971555,164.50926571352585,111.02503905908983,33.017734440872815,44.20784728204395,133.21670659831562,20.214238094668456,78.6672465171784,157.7735704917799,47.19115246327098,59.51300868422416,105.7882531870958,113.68812805159831,53.583763182498664,70.25014467210542,77.94799017760239,158.15067295720007,46.18581274895717,52.230878380032635,83.8925032184505,85.81170794934219,35.77694841005908,114.529992313401,223.93941074692114,112.61075154019397,75.19489914662395,81.74507027296653,92.37613896629259,89.80000902754131,63.910397849711735,188.6662580022799,97.12170508677646,73.77045157050135,86.96998473347102,208.000286094812,86.40601262652311,198.4360075047595,124.11018021066741,157.68826843093825,79.70762114571119,38.378708806359064,51.00956793602333,182.76344598742287,84.62858823709273,103.04589779163213,79.86854830963382,14.878556122316287
Oxidative phosphorylation,3.0,3.0,5.0,5.0,3.0,7.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,3.0,7.0,3.0,4.0,7.0,2.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,7.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0,5.0,6.0,5.0,4.0,6.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,6.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,8.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,7.0,4.0,4.0,5.0,5.0,3.0,4.0,7.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,6.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,6.0,4.0,6.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,4.0,5.0,3.0,3.0,6.0,5.0,6.0,7.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,6.0,3.0,3.0,3.0,6.0,3.0,4.0,5.0,3.0,6.0,5.0,4.0
Oxidative phosphorylation,28.0,10.0,13.0,18.0,13.0,14.0,12.0,14.0,9.0,12.0,16.0,10.0,8.0,13.0,12.0,13.0,4.0,11.0,13.0,13.0,13.0,7.0,13.0,12.0,13.0,12.0,12.0,12.0,9.0,13.0,18.0,11.0,10.0,10.0,14.0,10.0,17.0,11.0,13.0,13.0,11.0,11.0,13.0,10.0,11.0,12.0,10.0,10.0,12.0,8.0,14.0,6.0,12.0,14.0,11.0,9.0,14.0,11.0,16.0,12.0,12.0,11.0,10.0,13.0,15.0,9.0,12.0,13.0,10.0,21.0,12.0,14.0,10.0,14.0,12.0,13.0,14.0,13.0,13.0,12.0,13.0,10.0,12.0,11.0,12.0,14.0,11.0,11.0,10.0,14.0,7.0,10.0,12.0,11.0,13.0,12.0,13.0,8.0,11.0,8.0,9.0,7.0,14.0,10.0,10.0,13.0,10.0,10.0,12.0,14.0,13.0,14.0,15.0,13.0,19.0,10.0,12.0,13.0,11.0,12.0,12.0,17.0,16.0,17.0,14.0,10.0,14.0,16.0,15.0,13.0,10.0,11.0,10.0,10.0,15.0,14.0,11.0,6.0,10.0,9.0,11.0,12.0,10.0,10.0,15.0,11.0,9.0,9.0,8.0,10.0,11.0,13.0,12.0,15.0,15.0,12.0,14.0,14.0,9.0,14.0,7.0,12.0,16.0,9.0,12.0,12.0,14.0,14.0,9.0,15.0,17.0,7.0,10.0,12.0,12.0,8.0,12.0,14.0,12.0,12.0,9.0,15.0,10.0,10.0,15.0,12.0,13.0,15.0,14.0,14.0,15.0,16.0,14.0,15.0,8.0,9.0,16.0,11.0,8.0,13.0,6.0
