pathway_name,pathway_embedding,random_embedding_1,random_embedding_2,random_embedding_3,random_embedding_4,random_embedding_5,random_embedding_6,random_embedding_7,random_embedding_8,random_embedding_9,random_embedding_10,random_embedding_11,random_embedding_12,random_embedding_13,random_embedding_14,random_embedding_15,random_embedding_16,random_embedding_17,random_embedding_18,random_embedding_19,random_embedding_20,random_embedding_21,random_embedding_22,random_embedding_23,random_embedding_24,random_embedding_25,random_embedding_26,random_embedding_27,random_embedding_28,random_embedding_29,random_embedding_30,random_embedding_31,random_embedding_32,random_embedding_33,random_embedding_34,random_embedding_35,random_embedding_36,random_embedding_37,random_embedding_38,random_embedding_39,random_embedding_40,random_embedding_41,random_embedding_42,random_embedding_43,random_embedding_44,random_embedding_45,random_embedding_46,random_embedding_47,random_embedding_48,random_embedding_49,random_embedding_50,random_embedding_51,random_embedding_52,random_embedding_53,random_embedding_54,random_embedding_55,random_embedding_56,random_embedding_57,random_embedding_58,random_embedding_59,random_embedding_60,random_embedding_61,random_embedding_62,random_embedding_63,random_embedding_64,random_embedding_65,random_embedding_66,random_embedding_67,random_embedding_68,random_embedding_69,random_embedding_70,random_embedding_71,random_embedding_72,random_embedding_73,random_embedding_74,random_embedding_75,random_embedding_76,random_embedding_77,random_embedding_78,random_embedding_79,random_embedding_80,random_embedding_81,random_embedding_82,random_embedding_83,random_embedding_84,random_embedding_85,random_embedding_86,random_embedding_87,random_embedding_88,random_embedding_89,random_embedding_90,random_embedding_91,random_embedding_92,random_embedding_93,random_embedding_94,random_embedding_95,random_embedding_96,random_embedding_97,random_embedding_98,random_embedding_99,random_embedding_100,random_embedding_101,random_embedding_102,random_embedding_103,random_embedding_104,random_embedding_105,random_embedding_106,random_embedding_107,random_embedding_108,random_embedding_109,random_embedding_110,random_embedding_111,random_embedding_112,random_embedding_113,random_embedding_114,random_embedding_115,random_embedding_116,random_embedding_117,random_embedding_118,random_embedding_119,random_embedding_120,random_embedding_121,random_embedding_122,random_embedding_123,random_embedding_124,random_embedding_125,random_embedding_126,random_embedding_127,random_embedding_128,random_embedding_129,random_embedding_130,random_embedding_131,random_embedding_132,random_embedding_133,random_embedding_134,random_embedding_135,random_embedding_136,random_embedding_137,random_embedding_138,random_embedding_139,random_embedding_140,random_embedding_141,random_embedding_142,random_embedding_143,random_embedding_144,random_embedding_145,random_embedding_146,random_embedding_147,random_embedding_148,random_embedding_149,random_embedding_150,random_embedding_151,random_embedding_152,random_embedding_153,random_embedding_154,random_embedding_155,random_embedding_156,random_embedding_157,random_embedding_158,random_embedding_159,random_embedding_160,random_embedding_161,random_embedding_162,random_embedding_163,random_embedding_164,random_embedding_165,random_embedding_166,random_embedding_167,random_embedding_168,random_embedding_169,random_embedding_170,random_embedding_171,random_embedding_172,random_embedding_173,random_embedding_174,random_embedding_175,random_embedding_176,random_embedding_177,random_embedding_178,random_embedding_179,random_embedding_180,random_embedding_181,random_embedding_182,random_embedding_183,random_embedding_184,random_embedding_185,random_embedding_186,random_embedding_187,random_embedding_188,random_embedding_189,random_embedding_190,random_embedding_191,random_embedding_192,random_embedding_193,random_embedding_194,random_embedding_195,random_embedding_196,random_embedding_197,random_embedding_198,random_embedding_199,random_embedding_200
Pancreatic secretion,15.0,4.0,5.0,5.0,2.0,8.0,9.0,3.0,4.0,2.0,6.0,2.0,6.0,3.0,3.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,2.0,9.0,4.0,6.0,3.0,2.0,0.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,11.0,2.0,4.0,3.0,4.0,5.0,2.0,9.0,4.0,5.0,2.0,3.0,4.0,4.0,11.0,3.0,5.0,5.0,9.0,8.0,8.0,7.0,2.0,3.0,11.0,5.0,2.0,5.0,2.0,4.0,6.0,2.0,2.0,4.0,8.0,3.0,9.0,6.0,3.0,5.0,7.0,2.0,4.0,4.0,3.0,8.0,7.0,6.0,2.0,3.0,3.0,4.0,5.0,7.0,6.0,6.0,2.0,4.0,6.0,8.0,4.0,2.0,6.0,8.0,7.0,2.0,2.0,4.0,3.0,7.0,9.0,3.0,5.0,3.0,2.0,7.0,2.0,4.0,8.0,2.0,5.0,8.0,6.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,3.0,6.0,4.0,6.0,7.0,2.0,5.0,3.0,3.0,3.0,6.0,4.0,4.0,2.0,9.0,7.0,2.0,5.0,7.0,4.0,9.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,9.0,3.0,5.0,2.0,5.0,4.0,3.0,5.0,3.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,6.0,3.0,2.0,3.0,5.0,2.0,4.0,6.0,7.0,3.0,2.0,7.0,2.0,7.0,4.0,8.0,2.0,4.0,2.0,6.0,7.0,5.0
Pancreatic secretion,485.15038653174906,43.83917816991178,67.70094153887904,45.62645807045031,4.993615860027629,96.71945532186069,81.82664219693606,23.103023911341303,29.568048511138176,21.615986150827872,62.90851014284024,58.54322265474032,35.36723602045146,24.959779269165594,31.394475900738954,33.47093668364774,73.46118457444086,52.329852453850464,57.77044402661535,68.49202864797833,68.70293903004884,57.84355952284825,10.669803288092456,143.86903331116426,67.71465395702266,50.02835768091305,46.29210681234649,11.84201387845576,0.0,33.91735028278149,22.264848717726892,45.96284488761629,62.399451465768806,23.828842985562076,24.093948342048442,9.652596743245182,70.9587366955827,21.829568146197026,54.25366423337099,29.81597315026854,27.406213249672987,32.745524207006135,10.413763074508646,70.11014751166346,34.37184403661345,70.29215577698363,22.79782765370832,55.702672153597916,28.81027113585867,35.81140192567379,197.42659532965783,33.20009801371537,76.5539274183632,33.015374950384754,109.7101117893297,44.724732077314975,92.60182860221575,35.09377298033499,43.46810580901978,14.943991767426535,83.5757505427501,43.611478481237114,15.573207656977745,37.94599197087394,10.692058938291131,35.08715800125301,44.71810217891925,21.247631747494616,20.446024343494557,49.97748221773604,76.58948518165715,58.88556729144823,57.27477779876119,44.15556865099042,24.674236622170355,51.015345873305286,43.08587192211665,15.355364122992041,90.71360065675177,39.50535988168532,50.01313721327986,75.13543054059954,39.75832041793238,201.82640537345787,10.510234412567266,34.356708259245316,22.62753356367747,40.68094452061029,43.97704755280251,83.69758753773706,66.03739363393728,56.664638217761315,35.31409699101964,23.60921811820018,97.05657403822987,114.06735758308082,42.648606485756844,42.66735935826551,87.3110015037867,58.12570086114702,37.45652748405989,36.04251307226439,11.08973788169635,53.2091154932295,33.159636592993664,26.97014855769633,57.12020976393292,19.95272231731596,14.194970283393964,29.80217060890178,4.369782102127298,43.813239405624756,21.08323907077754,33.292018735301696,104.33288541468967,4.4954298334960905,37.7563376498981,59.070035647116796,56.26529772757549,22.58957308337351,18.50117756354778,39.93747785409619,34.83744036371251,47.7216837153421,65.19101363703274,54.84369910095419,48.56771985438647,82.17895356190458,29.377539403333977,63.944985168411506,66.32356505897495,4.751853696176356,48.04521090864095,38.631872767081084,13.234313103383629,9.39377934260428,62.864824083103805,49.33170127783835,37.410159439251025,6.961177604591576,68.20940318057127,89.9071256919056,43.96233145524026,74.07380062136828,66.17383859008292,23.122602536025646,127.68278525690862,4.553194323969632,37.58248240340949,37.522293310578696,29.114860492930298,14.644452120285443,28.22161147099486,31.93740741133957,36.55985653933089,37.968080833743315,33.897652655632186,34.755862467124956,25.49870186780692,57.486456708662345,42.86710106067851,58.92981958144119,25.35436342000331,21.51442786900468,58.575810770366026,35.16067900624994,20.408413412437437,9.552826894097791,11.316909535678144,72.41953349367607,16.055195685666167,11.147533082008412,33.54866233074272,55.47375332645581,22.778547173002693,21.189799000911062,47.83909975254146,34.384933010020134,21.571102432967184,23.311735717336802,47.070559058903456,11.490421174644975,39.13974774179313,28.94592069831566,15.633710102974701,36.008089326053195,33.90095732877764,126.21080017230939,51.60905836150438,22.215887780928725,67.74207671395453,10.58920382891362,245.65795375709715,57.142977608543454,78.41922017565193,18.594970283031046,42.07646373368527,8.806437537225754,23.917805674493863,75.65535554069685,67.91011011713583
Pancreatic secretion,4.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,3.0,2.0,1.0,6.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,6.0,4.0,2.0,4.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,5.0,1.0,4.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,4.0
Pancreatic secretion,15.0,5.0,6.0,5.0,2.0,10.0,8.0,4.0,4.0,3.0,7.0,3.0,6.0,3.0,3.0,8.0,7.0,5.0,4.0,6.0,7.0,4.0,2.0,11.0,5.0,6.0,4.0,2.0,0.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,12.0,3.0,4.0,3.0,4.0,4.0,2.0,8.0,3.0,5.0,3.0,3.0,5.0,5.0,11.0,3.0,6.0,5.0,9.0,9.0,9.0,7.0,2.0,3.0,11.0,5.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0,4.0,9.0,4.0,12.0,6.0,3.0,5.0,6.0,3.0,5.0,3.0,4.0,8.0,7.0,6.0,2.0,4.0,4.0,4.0,4.0,7.0,9.0,5.0,3.0,4.0,5.0,8.0,5.0,3.0,7.0,8.0,7.0,3.0,2.0,4.0,4.0,6.0,11.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,10.0,2.0,6.0,8.0,6.0,3.0,3.0,5.0,6.0,6.0,8.0,7.0,4.0,7.0,6.0,6.0,9.0,2.0,4.0,4.0,3.0,3.0,8.0,5.0,3.0,2.0,10.0,6.0,3.0,6.0,7.0,4.0,8.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,6.0,4.0,7.0,3.0,8.0,3.0,4.0,8.0,4.0,4.0,3.0,2.0,6.0,2.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,2.0,4.0,6.0,7.0,5.0,3.0,6.0,2.0,8.0,4.0,8.0,3.0,6.0,3.0,5.0,7.0,4.0
Pancreatic secretion,515.4063490917674,26.97468667469477,46.48773764003605,28.284157037373042,4.993615860027629,91.35068766168088,26.541957165750876,22.490143518186933,28.74735436913614,11.183814759612924,52.74858202784839,13.710617781568958,31.604875018793624,10.673615755003718,14.999564433855898,44.21603471321731,54.271210194229454,40.96629476754779,22.045090239622027,30.162310397440933,39.52518973665674,50.19693032515836,10.669803288092456,94.53316759246461,37.270686406812345,33.19398921528794,14.706058388113787,5.396078279348153,0.0,25.918907265781137,10.602876296402261,36.961566133801945,45.889293906229014,17.197787876965727,21.821709395789927,10.050777838139553,57.54035333069112,10.43986601545417,39.497542491227044,10.515946647917591,27.04158463590255,42.52856643313406,12.133123685404827,33.57282650881951,21.688328537875854,64.02644138810928,11.690415475434232,16.442867325869887,23.180234645289858,48.7994665770151,79.00899543315242,23.965220294304387,64.89156767189462,27.671913957689696,68.78332373104028,44.609422758084996,76.97527827963829,31.941022966941425,27.024882459442594,16.612220798855596,25.470403702204568,33.60012358112154,7.572550116778421,48.247629525259285,10.692058938291131,44.16068741995814,30.40631664340941,10.688757721115683,7.11458973522391,16.242597880840645,37.953977637459346,24.62092005246218,46.65928990982555,31.793833828054545,22.807489424608594,58.421595489383535,25.324211355583184,4.555571697407316,28.706106666990173,30.68578397460967,36.71231675686461,69.85142540282757,46.08809705609041,48.579998158020494,10.61346553212847,22.97246619529838,41.55675657404123,27.60544745299875,33.118460335301755,50.32955325809171,42.90771849490434,37.910477646592085,10.742152618661647,24.073116109519916,40.354362175062676,84.82930332922064,32.72142744844074,5.844339992940735,55.48951711867356,93.28934066572803,50.48266849274062,10.802811919526851,11.08973788169635,37.78195826072715,21.57069609020408,23.31288616761348,36.956034621042186,17.71389404356689,15.930672491577525,25.937106149710047,5.53007810366188,26.420009625577144,10.498127891631118,13.372181242711699,71.79142223611393,11.69338002786097,18.875632157338067,100.51235946139262,59.114480394489306,10.655571677342088,24.173826384777044,11.49122861367969,42.69430178309055,44.44733354276957,43.018882367024915,53.57303840798747,30.40628220935684,109.10899015603466,18.24861658993783,67.34271584073846,89.3134372299368,4.751853696176356,13.106634936574423,24.29680214630993,10.889470939321175,15.743607422735353,59.72680902448171,35.17888736074224,37.08144936009901,6.961177604591576,61.17722368676405,49.56996486783087,10.730397079059856,25.361618947679766,77.45228151053641,17.594353170476555,59.17829000912943,4.553194323969632,35.44058060334664,31.48895635463895,30.14035093177295,5.270072739979731,11.561570868132979,33.525140133472945,15.326934170420177,35.2149639037334,31.124287582384177,29.060083841993418,30.69066885438235,10.986894865809269,12.31903524181536,28.57236931949357,10.547260263871879,21.594621360140433,84.97565219448524,21.473980168814503,36.38678691759164,4.943256893155387,11.316909535678144,65.77671008296642,21.830560736729684,9.34981457247478,27.141233223531355,36.46225981619411,24.31214262240545,33.060854301493265,36.880127259877476,15.741230803346056,22.322880767252652,14.914472280683968,24.925987958477464,21.404311791978145,9.438718697698338,31.07472100714452,22.32328679416026,28.826560640168175,28.97031733699725,88.31288048132225,23.698122661522234,11.899064074967672,74.38447172331485,10.58920382891362,83.52027425101403,35.38747059210273,50.43323999597981,13.047151012225584,9.891224156631093,4.613622084114414,24.628079537865602,46.21754937463727,22.74404563563686
Pancreatic secretion,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,7.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,3.0,5.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,4.0,2.0,5.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0
Pancreatic secretion,16.0,6.0,6.0,7.0,2.0,9.0,9.0,4.0,5.0,3.0,7.0,3.0,7.0,4.0,4.0,9.0,7.0,5.0,6.0,8.0,7.0,5.0,0.0,10.0,5.0,7.0,4.0,2.0,0.0,5.0,4.0,6.0,5.0,4.0,4.0,5.0,13.0,3.0,4.0,4.0,3.0,5.0,2.0,8.0,4.0,6.0,3.0,4.0,5.0,6.0,11.0,4.0,6.0,5.0,9.0,9.0,10.0,7.0,3.0,4.0,11.0,5.0,3.0,6.0,0.0,4.0,5.0,3.0,3.0,6.0,8.0,4.0,8.0,5.0,2.0,6.0,6.0,3.0,5.0,4.0,4.0,9.0,8.0,7.0,2.0,5.0,3.0,4.0,5.0,8.0,8.0,6.0,3.0,5.0,7.0,8.0,5.0,3.0,7.0,7.0,6.0,3.0,0.0,6.0,4.0,6.0,10.0,4.0,4.0,4.0,2.0,7.0,3.0,5.0,8.0,2.0,7.0,10.0,6.0,3.0,4.0,5.0,4.0,6.0,7.0,8.0,4.0,8.0,6.0,5.0,9.0,2.0,6.0,4.0,4.0,2.0,9.0,5.0,4.0,2.0,11.0,8.0,3.0,6.0,8.0,3.0,8.0,0.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,9.0,4.0,7.0,3.0,6.0,4.0,4.0,8.0,5.0,4.0,3.0,0.0,6.0,3.0,3.0,3.0,5.0,4.0,4.0,6.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,4.0,7.0,8.0,5.0,3.0,7.0,0.0,9.0,5.0,9.0,3.0,6.0,3.0,8.0,7.0,7.0
Pancreatic secretion,546.1734192572712,29.077694267509138,35.14684827777103,16.178173142936437,5.908087541088267,55.290537570867244,27.254241999013882,23.028801194775568,33.41982120341921,10.432171391214949,31.181398695503717,12.678044877571091,33.287012888778946,4.446063096615021,7.216854056140307,37.505142996675254,81.25643196894953,36.924400952378406,25.684699449887255,33.051186681155556,28.759317722088774,23.40189511649498,0.0,101.50742448435898,21.18731504380134,21.55376328696015,21.014718915872166,11.84201387845576,0.0,16.555638427180053,4.79150113859413,22.574397200638195,32.04223070617451,15.267525731902008,7.694809598634408,13.067001094126018,35.953533197727765,11.389702130742856,9.300075815375596,5.122278934310339,33.58232412877413,26.45276310997344,10.444166463444809,34.540486427561184,21.354093098960185,41.535387268171085,11.107412178274089,10.81219079428757,26.55934981773627,17.76443322104172,76.7749359317216,19.13803751128917,38.768259071694175,31.66459607857492,43.05577731536604,28.886739994667664,45.45058244592375,26.814435917848066,5.42235700322692,4.368582711950705,36.27924800063592,33.70775046069356,8.000657540199324,35.40830292029808,0.0,15.305837765097731,18.089791642729416,10.55887402637893,13.331434608270648,23.560330063721604,61.67765533441811,22.9995262458755,43.19359005743684,29.290135471619767,8.947109811893641,42.37188558464385,27.141633784096754,5.38103285195536,15.130058229429153,34.28046179798329,38.61785048230603,61.04835330754383,16.191500340923234,42.250149544893446,10.956596208790486,22.012575352755313,15.340490290531907,36.90387107090453,23.308148518090043,69.13344367243668,64.57739111937879,22.685297177893315,10.529226763808676,15.846463316427215,47.595436676027106,90.95680285576125,16.437321614466395,4.2627310319309535,33.47330402136824,73.1581521683452,31.801668819715463,10.871863204988276,0.0,15.540071966343586,19.142429481069332,26.207204765704248,45.590858504589576,21.33482662851383,21.863406183283594,5.246583084600695,5.53007810366188,23.272144319817507,10.585111179146423,21.812159943743822,66.65558486519959,4.4954298334960905,15.916374948996907,25.742637728309937,42.27221016245611,11.934001406031422,10.996638816968543,10.566977361997868,11.540287191270622,27.584505498292565,28.87950429916661,42.20111525830583,25.926775825131703,68.81750010897272,10.381934291569394,34.9380831279041,58.74897185979022,11.015941941579218,24.959591013204424,23.62761007268489,4.427476968230868,26.20868884519979,68.48589967263709,10.435835153300236,17.934747077619996,10.371410598801628,58.92838238093048,27.577856144709244,10.502366470421608,33.406620646153776,61.994240711458104,8.975445572029273,41.89819223226757,0.0,23.852188432826047,10.362552859516382,5.550326886633817,4.503854260114001,15.059147616989403,31.88265799720122,11.182258046741484,22.4236946793876,21.97608921481296,23.475509605013166,27.55991300644003,9.751248464998401,16.88276637083593,22.15218181417233,16.574031003865816,21.887060610611748,81.66904410552114,26.383899759558787,36.36338858294387,4.609570000942405,0.0,54.86148063305941,10.841832252152305,22.098993511825768,25.777722422178556,21.345112915847302,10.32696283338538,11.483256915980949,33.72946451578332,15.747917549610207,10.44922614863897,22.814552883158385,10.744639187785966,8.843896748265747,27.255204663825204,33.381032527852604,5.360685987701211,13.57510718806281,23.59868199527392,51.53163824292098,24.33931383604753,10.316823705961053,48.86925974884785,0.0,65.57919270619348,9.763525648935929,46.246809107061644,5.54781927080546,29.36788146912488,4.19281545311134,33.2792759044838,36.00099733571991,18.479147046569047
Pancreatic secretion,4.0,3.0,4.0,4.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,0.0,3.0,3.0,2.0,3.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,2.0,4.0,0.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,0.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,1.0,4.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,2.0,4.0,1.0,5.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,5.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,0.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,5.0
Pancreatic secretion,16.0,6.0,6.0,7.0,2.0,11.0,9.0,3.0,5.0,2.0,7.0,3.0,7.0,4.0,4.0,8.0,8.0,5.0,6.0,7.0,7.0,5.0,0.0,11.0,6.0,6.0,5.0,2.0,0.0,5.0,4.0,6.0,6.0,5.0,4.0,5.0,9.0,2.0,5.0,4.0,4.0,5.0,2.0,9.0,5.0,6.0,2.0,4.0,5.0,6.0,11.0,4.0,6.0,4.0,9.0,10.0,8.0,8.0,3.0,4.0,12.0,5.0,2.0,6.0,0.0,5.0,6.0,2.0,2.0,6.0,9.0,4.0,12.0,6.0,3.0,6.0,6.0,3.0,6.0,5.0,4.0,8.0,8.0,7.0,2.0,5.0,4.0,2.0,5.0,7.0,9.0,7.0,3.0,5.0,9.0,9.0,6.0,3.0,7.0,9.0,8.0,3.0,0.0,6.0,4.0,5.0,10.0,4.0,5.0,4.0,2.0,6.0,0.0,5.0,9.0,2.0,7.0,10.0,6.0,0.0,4.0,5.0,6.0,6.0,9.0,7.0,4.0,8.0,5.0,6.0,9.0,2.0,5.0,4.0,4.0,4.0,8.0,6.0,5.0,2.0,11.0,7.0,3.0,6.0,9.0,5.0,9.0,0.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,6.0,4.0,8.0,4.0,6.0,2.0,9.0,5.0,5.0,7.0,5.0,3.0,2.0,0.0,6.0,3.0,3.0,4.0,5.0,4.0,4.0,6.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,5.0,6.0,8.0,5.0,0.0,7.0,0.0,8.0,5.0,10.0,0.0,6.0,0.0,7.0,8.0,7.0
