pathway_name,pathway_embedding,random_embedding_1,random_embedding_2,random_embedding_3,random_embedding_4,random_embedding_5,random_embedding_6,random_embedding_7,random_embedding_8,random_embedding_9,random_embedding_10,random_embedding_11,random_embedding_12,random_embedding_13,random_embedding_14,random_embedding_15,random_embedding_16,random_embedding_17,random_embedding_18,random_embedding_19,random_embedding_20,random_embedding_21,random_embedding_22,random_embedding_23,random_embedding_24,random_embedding_25,random_embedding_26,random_embedding_27,random_embedding_28,random_embedding_29,random_embedding_30,random_embedding_31,random_embedding_32,random_embedding_33,random_embedding_34,random_embedding_35,random_embedding_36,random_embedding_37,random_embedding_38,random_embedding_39,random_embedding_40,random_embedding_41,random_embedding_42,random_embedding_43,random_embedding_44,random_embedding_45,random_embedding_46,random_embedding_47,random_embedding_48,random_embedding_49,random_embedding_50,random_embedding_51,random_embedding_52,random_embedding_53,random_embedding_54,random_embedding_55,random_embedding_56,random_embedding_57,random_embedding_58,random_embedding_59,random_embedding_60,random_embedding_61,random_embedding_62,random_embedding_63,random_embedding_64,random_embedding_65,random_embedding_66,random_embedding_67,random_embedding_68,random_embedding_69,random_embedding_70,random_embedding_71,random_embedding_72,random_embedding_73,random_embedding_74,random_embedding_75,random_embedding_76,random_embedding_77,random_embedding_78,random_embedding_79,random_embedding_80,random_embedding_81,random_embedding_82,random_embedding_83,random_embedding_84,random_embedding_85,random_embedding_86,random_embedding_87,random_embedding_88,random_embedding_89,random_embedding_90,random_embedding_91,random_embedding_92,random_embedding_93,random_embedding_94,random_embedding_95,random_embedding_96,random_embedding_97,random_embedding_98,random_embedding_99,random_embedding_100,random_embedding_101,random_embedding_102,random_embedding_103,random_embedding_104,random_embedding_105,random_embedding_106,random_embedding_107,random_embedding_108,random_embedding_109,random_embedding_110,random_embedding_111,random_embedding_112,random_embedding_113,random_embedding_114,random_embedding_115,random_embedding_116,random_embedding_117,random_embedding_118,random_embedding_119,random_embedding_120,random_embedding_121,random_embedding_122,random_embedding_123,random_embedding_124,random_embedding_125,random_embedding_126,random_embedding_127,random_embedding_128,random_embedding_129,random_embedding_130,random_embedding_131,random_embedding_132,random_embedding_133,random_embedding_134,random_embedding_135,random_embedding_136,random_embedding_137,random_embedding_138,random_embedding_139,random_embedding_140,random_embedding_141,random_embedding_142,random_embedding_143,random_embedding_144,random_embedding_145,random_embedding_146,random_embedding_147,random_embedding_148,random_embedding_149,random_embedding_150,random_embedding_151,random_embedding_152,random_embedding_153,random_embedding_154,random_embedding_155,random_embedding_156,random_embedding_157,random_embedding_158,random_embedding_159,random_embedding_160,random_embedding_161,random_embedding_162,random_embedding_163,random_embedding_164,random_embedding_165,random_embedding_166,random_embedding_167,random_embedding_168,random_embedding_169,random_embedding_170,random_embedding_171,random_embedding_172,random_embedding_173,random_embedding_174,random_embedding_175,random_embedding_176,random_embedding_177,random_embedding_178,random_embedding_179,random_embedding_180,random_embedding_181,random_embedding_182,random_embedding_183,random_embedding_184,random_embedding_185,random_embedding_186,random_embedding_187,random_embedding_188,random_embedding_189,random_embedding_190,random_embedding_191,random_embedding_192,random_embedding_193,random_embedding_194,random_embedding_195,random_embedding_196,random_embedding_197,random_embedding_198,random_embedding_199,random_embedding_200
Salmonella infection,20.0,15.0,17.0,14.0,13.0,15.0,14.0,13.0,17.0,19.0,15.0,16.0,18.0,13.0,14.0,16.0,12.0,17.0,14.0,15.0,17.0,12.0,12.0,18.0,19.0,16.0,16.0,12.0,15.0,18.0,14.0,13.0,17.0,11.0,12.0,19.0,15.0,13.0,15.0,18.0,16.0,16.0,14.0,14.0,20.0,15.0,12.0,17.0,11.0,16.0,11.0,15.0,13.0,13.0,13.0,15.0,15.0,16.0,13.0,18.0,12.0,11.0,16.0,14.0,12.0,16.0,12.0,19.0,18.0,16.0,14.0,18.0,16.0,20.0,14.0,19.0,10.0,19.0,16.0,18.0,21.0,18.0,18.0,17.0,16.0,18.0,14.0,13.0,13.0,16.0,14.0,12.0,15.0,18.0,18.0,14.0,14.0,12.0,15.0,17.0,16.0,14.0,15.0,15.0,17.0,21.0,17.0,17.0,13.0,18.0,16.0,19.0,15.0,14.0,14.0,15.0,14.0,19.0,16.0,17.0,12.0,14.0,18.0,13.0,8.0,14.0,17.0,20.0,16.0,17.0,16.0,14.0,14.0,16.0,16.0,19.0,18.0,18.0,17.0,20.0,17.0,18.0,17.0,14.0,14.0,11.0,16.0,15.0,17.0,14.0,17.0,14.0,15.0,18.0,14.0,17.0,14.0,13.0,11.0,16.0,10.0,15.0,12.0,17.0,17.0,13.0,15.0,15.0,16.0,15.0,18.0,15.0,14.0,20.0,18.0,18.0,14.0,19.0,15.0,15.0,12.0,18.0,15.0,17.0,18.0,17.0,14.0,15.0,18.0,14.0,14.0,11.0,14.0,21.0,14.0,17.0,14.0,13.0,13.0,18.0,18.0
Salmonella infection,322.1778665563452,237.7041904316481,228.85419355592728,289.38252794031337,287.0359818054457,251.494200168463,111.44341131175926,975.73181915312,217.9661104134514,192.2294497201358,308.20297893110154,235.7205177613693,287.25656173135906,142.79214330412773,228.21347261849434,269.4547787674113,155.12219660763992,343.80425522550775,158.9692478884312,181.370069624827,197.6387354943965,230.22053872396552,183.44163548445314,458.80670664606276,317.24277143154177,174.77017961356697,183.72962490722634,78.74789565946098,299.57140416786024,234.2800127387556,266.08975956913264,345.7934734206468,174.53787247695263,288.3021287062069,237.60719357243963,249.9398065762948,232.86900949026784,162.68790977658938,107.19236278010823,231.59752838021535,194.54998027911554,297.71799528080186,128.0080678396091,138.76060180840628,220.03475033555762,199.25175299833145,341.92346576353356,217.71349756303408,188.58654823836272,148.0706105450934,86.17924248773633,255.6601238421701,497.4942457792428,306.16465764950095,397.52864376066043,221.07574118039852,484.8313404675644,283.5073242247156,185.68996539242943,365.50657808894437,101.62398208493711,803.1800162352557,211.48444946629917,308.2667859904291,288.75021253989627,345.5976386877682,161.8934257587063,270.62366562940474,223.0498732474851,252.33792835622987,294.9658407740579,369.95187336655545,207.62882318191967,194.938430920342,320.5313893798066,143.00062347895025,512.2433994876042,334.19004522687686,325.5410026594441,86.75739284762872,255.3587778922698,215.86495349063225,220.0506623342098,232.5647150277435,184.36971305543693,585.9126474342438,213.4365757250326,185.48271705387978,176.73059334335989,195.22816062468593,292.498619120536,201.8633111201134,141.9371281491437,145.2811514551254,144.2882782265636,178.99343374634054,174.0785086010608,187.16689140572143,243.66734717836974,287.2154374977485,176.59563917037676,324.63885035611037,388.53511345765617,225.98628607823514,234.18146361089242,219.4717855237772,294.2356550465154,267.05365669207305,130.01245264455494,210.90658981595718,241.8024258899147,266.0036655781861,331.162660216005,363.549544790117,979.4704354012881,246.37399693722435,169.1478087445381,186.51268422904178,195.2272241235764,330.79703442517234,191.02682466845624,207.14382187218962,301.3637769115061,234.68047242636112,857.1251950067696,226.97925443297652,161.27751573386382,380.58226796350993,162.03670291713888,195.18526751635136,329.5568779464766,170.99073428435852,313.51573925305297,255.6456173312538,278.7972777657657,714.3624622518022,244.38653320154336,297.67354044807865,290.6318928300299,334.22195300152066,212.24451895169227,329.55190066960796,321.21139039037735,192.31217376523486,262.77017706728367,270.23951409245785,186.09960184796563,159.05419512425632,359.67448786428207,112.03341235798332,296.90648906987303,314.4616152242079,223.83086567950653,315.61018092432994,157.76371802523826,363.1697962975177,209.21045662397583,121.3743692598278,148.45487513032748,388.1444286061628,155.0704028476426,169.76913840754128,325.6934355234996,238.80968101302514,274.5168818827179,123.22240690770094,237.4257158831854,290.5512810052658,207.80740208218083,206.99774800703509,240.26343687876803,329.86948370225497,186.8869928105935,148.44723508085912,281.0061358343041,264.3326506347297,202.7357942540187,140.424903045811,295.2735055129065,149.33492551081565,198.13963340911317,301.6759958081158,297.9483778975029,195.304248592826,263.58772038379334,306.9081758364559,296.38612941081385,266.7757318261407,164.40857836801004,222.06980449638314,205.2174868686228,436.3887622264151,220.73300041867702,232.6424305488125,119.98826633651835,221.43728634906103,248.01096681503157,369.803108486957,258.4833080465528,278.46639566290776,258.48745273946474
Salmonella infection,3.0,4.0,3.0,6.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,6.0,4.0,5.0,4.0,5.0,3.0,3.0,6.0,5.0,7.0,5.0,4.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,7.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,7.0,5.0,4.0,6.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,6.0,4.0,4.0,3.0,3.0,4.0,3.0,7.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,6.0,4.0,6.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,6.0,4.0,4.0,3.0,3.0,4.0,7.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,7.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,5.0,4.0,3.0,4.0,4.0,6.0,3.0,5.0,3.0,4.0,6.0,5.0,5.0,5.0,4.0,3.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,7.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0
Salmonella infection,19.0,19.0,17.0,20.0,17.0,17.0,15.0,17.0,11.0,18.0,18.0,17.0,18.0,14.0,14.0,16.0,15.0,17.0,12.0,16.0,18.0,15.0,14.0,19.0,18.0,16.0,17.0,13.0,14.0,20.0,13.0,14.0,19.0,16.0,13.0,14.0,11.0,18.0,14.0,13.0,14.0,16.0,13.0,11.0,19.0,15.0,14.0,17.0,10.0,14.0,10.0,16.0,13.0,15.0,17.0,16.0,17.0,13.0,13.0,23.0,15.0,15.0,17.0,15.0,13.0,17.0,14.0,17.0,17.0,16.0,17.0,16.0,18.0,19.0,12.0,18.0,13.0,18.0,15.0,17.0,17.0,20.0,15.0,13.0,14.0,15.0,15.0,12.0,12.0,18.0,15.0,15.0,19.0,16.0,16.0,19.0,12.0,13.0,14.0,16.0,14.0,18.0,18.0,14.0,17.0,16.0,14.0,18.0,15.0,21.0,18.0,19.0,16.0,17.0,16.0,13.0,16.0,18.0,15.0,17.0,20.0,15.0,16.0,12.0,11.0,16.0,17.0,18.0,14.0,18.0,20.0,12.0,15.0,17.0,16.0,13.0,15.0,17.0,16.0,19.0,15.0,15.0,16.0,14.0,13.0,17.0,17.0,15.0,19.0,15.0,18.0,18.0,13.0,19.0,13.0,19.0,15.0,13.0,11.0,22.0,15.0,15.0,12.0,18.0,19.0,12.0,21.0,16.0,16.0,14.0,19.0,14.0,14.0,21.0,17.0,21.0,13.0,17.0,20.0,17.0,14.0,16.0,17.0,18.0,21.0,15.0,12.0,15.0,14.0,15.0,16.0,14.0,16.0,20.0,18.0,16.0,19.0,14.0,12.0,14.0,18.0
Salmonella infection,303.2132094313204,229.89367769857472,373.3929264120758,199.16611383579192,157.9645454761128,228.51630129253783,140.77686639978307,393.531855353524,200.29314437450054,412.95539380942296,152.59207099986386,134.2046571452463,215.4725060861644,147.23365742980786,192.8566520743967,182.03821999291029,199.74703062409236,304.4816439832349,154.78106708528247,135.32054129246364,149.22286342321743,127.56955792630525,114.3165426517286,346.852075237303,275.7974581626888,119.06510650370166,165.02969922829715,68.71253516807144,172.2269999318878,221.70582835473488,281.6178298852038,220.80209929722423,150.79470735181022,74.50918805056531,129.24465847741044,155.84362832293124,212.3952357624325,194.7992486744618,151.1405895740976,173.06725906224474,191.0420025966512,212.56404319871163,77.88251379434915,137.61319827791465,192.9698127457243,130.74977480764946,174.02178327703535,161.9467599067445,121.81628560669054,110.12095100485573,55.96627061989516,272.5441920160453,298.47059831861696,194.9783841074825,312.4726287586408,200.64763621975922,343.880587402037,265.9560781114402,68.46921212386114,286.55266634782214,161.58772765619943,239.56036581335727,269.85908422580906,201.81927943275014,118.12848787885223,311.12240492100216,109.19984506576355,205.47314948900228,330.8249005599827,161.26116104390786,301.3523347257008,193.84236763051328,170.42000618282856,138.21546776176763,158.67668744249076,121.12218154988219,212.82302519174465,180.0049130185222,221.20995117395293,119.57376969914273,265.217830604595,320.6051798857121,195.15528029916743,240.56511547956228,214.9432957724795,312.6482815896237,166.84541003366854,140.53124392469638,149.42397784893546,267.4183482202131,235.0868412470227,125.35627341420967,108.24507602303899,226.2919424471086,191.6683135854223,170.60496128663368,165.4805247684308,166.79429755762567,135.16678832253407,231.80306005909782,116.04486754546008,282.745350844458,245.96568639661587,234.74621480126532,199.3339169327994,163.61994010026223,298.0250898124473,168.96856602854388,107.64799780597491,216.92231655412846,295.37476897034946,213.67754796015777,180.5360308487203,158.81417481106166,394.4731757638965,215.82831128344262,164.10897559759326,153.18940929333843,156.38263609798676,281.1031565415068,229.177742196729,186.67443433857719,258.0326701345314,245.81645353557596,162.55588225818587,186.4013309924846,235.00129159282923,290.5269083016473,103.37843282147655,95.13633458312844,302.93777927303887,180.4362761161694,188.96397020906326,191.56328635468458,225.66932190037028,248.41134514669395,163.31975390004766,202.34717104800745,196.9114221690054,161.9396338011428,110.23972501956436,132.3746675122422,247.3743343259714,127.12248982654953,184.91793503061928,201.56859713851637,324.54976688928775,131.77203864750598,257.3274900656836,196.0880565401793,167.6004651852605,252.33944166258325,272.9928704451754,180.6494727086872,150.4876766488966,257.22000116791077,265.46551754924667,120.48668092008795,92.21253105368497,330.6530176746087,117.70592188431999,146.66381190392258,195.66070368436888,196.09163661393495,151.57435613987676,170.38420427545518,335.857024225248,216.9521815488749,173.74265565491135,107.63823276983194,299.2780769786966,222.8913448312494,172.95325218405648,148.10059085189937,208.92060192065398,311.7695571124904,162.32217204361046,163.7820327372843,159.443395996127,260.8923545189693,148.83564052868635,153.36063770053786,216.38245713303925,297.8024864941836,265.64119419898145,191.00842145247745,181.71791360685097,265.76021881711745,195.90472919073284,301.36891027874464,192.0707414099513,130.266085130879,269.2857339608374,291.9323043710755,120.17416714688468,256.76681386926856,218.8628636359473,293.6826024341192,90.69686773495961,286.4742975946978,311.1181895384825
Salmonella infection,4.0,4.0,3.0,6.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,3.0,4.0,5.0,5.0,6.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,6.0,6.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,7.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,7.0,5.0,3.0,5.0,4.0,4.0,5.0,6.0,3.0,5.0,4.0,4.0,3.0,6.0,6.0,4.0,3.0,3.0,4.0,4.0,7.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,6.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,3.0,5.0,4.0,6.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,7.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,6.0,4.0,3.0,6.0,4.0,4.0,5.0,4.0,3.0,6.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,6.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
Salmonella infection,19.0,15.0,21.0,21.0,18.0,18.0,14.0,18.0,14.0,19.0,20.0,16.0,20.0,15.0,17.0,16.0,18.0,15.0,13.0,17.0,18.0,14.0,14.0,20.0,20.0,18.0,15.0,14.0,15.0,18.0,13.0,16.0,21.0,22.0,18.0,15.0,13.0,18.0,16.0,16.0,16.0,16.0,14.0,14.0,18.0,15.0,15.0,16.0,10.0,15.0,9.0,15.0,16.0,13.0,16.0,13.0,16.0,19.0,11.0,20.0,15.0,15.0,16.0,16.0,14.0,18.0,15.0,19.0,17.0,16.0,17.0,15.0,19.0,16.0,15.0,19.0,12.0,21.0,14.0,18.0,18.0,20.0,19.0,15.0,15.0,15.0,14.0,16.0,15.0,18.0,12.0,14.0,17.0,17.0,17.0,17.0,19.0,14.0,19.0,16.0,20.0,15.0,16.0,15.0,14.0,16.0,17.0,16.0,16.0,17.0,17.0,19.0,17.0,19.0,17.0,16.0,15.0,18.0,21.0,20.0,21.0,14.0,15.0,14.0,12.0,24.0,17.0,18.0,16.0,15.0,15.0,12.0,16.0,16.0,13.0,14.0,21.0,15.0,14.0,17.0,17.0,18.0,19.0,17.0,18.0,16.0,16.0,15.0,24.0,13.0,18.0,16.0,23.0,17.0,18.0,20.0,14.0,13.0,13.0,18.0,11.0,13.0,14.0,17.0,23.0,12.0,16.0,16.0,15.0,11.0,22.0,13.0,15.0,19.0,15.0,19.0,17.0,22.0,16.0,15.0,12.0,17.0,16.0,18.0,22.0,22.0,16.0,15.0,16.0,15.0,19.0,17.0,18.0,21.0,18.0,15.0,15.0,14.0,11.0,18.0,20.0
Salmonella infection,275.3934034168519,249.35744679015775,278.54980737638226,114.5839044231765,191.31330584646852,269.70874545412954,100.43308532141215,252.48144609026102,212.26101903809663,228.15227175111988,126.17535438065293,100.32098147037124,267.8922523363383,91.52055837881741,146.9162324020596,201.1129600371526,213.14822067537125,61.92010247519524,89.10668843115509,115.12146172620074,142.4183957272072,76.6359458476755,38.34859779755953,234.3508060378485,286.8673327171887,171.4215895921591,153.89330044083098,74.47473229284279,205.0702683105874,179.6787727433929,189.11054447524094,291.89542689614547,87.01225225516403,81.8266667702467,164.31229123883037,158.88014797174034,203.73295455787525,179.24205035919783,140.8720368261961,155.2974579515985,159.56741303759614,158.69983566398656,88.3065099929834,157.05584359596028,164.38186931922962,104.51117890488594,214.71583768333778,165.11585271228935,144.4816413647851,128.64332354678072,36.4226025786994,231.65024520234041,158.20015997908334,169.0743681240085,286.087768804382,172.40861037016646,301.1571241943293,206.72964815190838,111.1408144130066,330.4665738889009,140.026425167802,200.29953050136135,278.43654793849817,96.9925520067926,118.4973061766763,266.4175679739899,134.5543001357182,326.13968229066006,234.65973227513933,212.92046852490222,140.42887887571777,231.09023021493087,228.606315693433,101.0112081389472,207.9032245678094,144.0026572842755,205.81441637463064,121.66472728070062,119.8610061512013,94.76824861073811,105.11449936803666,289.77959020733675,172.1673015226397,161.65784567095457,127.37791066303429,331.771079653641,144.91124908600807,120.86964050987703,76.7667866297209,197.72899573247244,213.34868159745588,101.48995820664479,172.50147958176612,242.9484022409657,132.54172724782885,139.42853096751375,140.45178220811974,109.34496708839593,191.29107551158646,261.5092083880681,83.53702246757987,319.15310120279497,174.3580410508558,222.36470855581135,206.8608292663447,219.16333774930155,289.42195285481347,130.29248575277273,166.72648165760697,156.4814264415188,251.68402925845942,114.18010180575885,273.05710199060974,171.33325485613275,205.98441046821367,112.00165206300927,87.68448192852881,124.45686988412498,172.87509187526516,255.96163961786107,97.62363673022539,207.6240883835635,170.36481324144248,186.29268817935187,51.24555158834892,149.1939239475332,148.21116197306438,259.53056364562707,115.33523920380891,122.34349324410911,196.12084794582984,155.61621018707348,147.0041761861452,147.33577041962351,132.1623881176477,189.93616565880882,207.73838380346422,184.92987745027213,264.297709822123,188.25789405469567,131.42384955864546,107.84855002248683,182.53216436784953,56.42158159532103,164.16731729886556,177.86294935210262,206.64153930976718,165.8835671600081,240.87787854437804,129.5943257919908,63.99944361927314,221.45282828277266,180.7368965648486,165.8665401870045,201.4422495063904,195.59373961696778,199.91853450986855,167.84026687432433,50.7257852693062,200.66468277473334,74.39577552023323,173.82354004592815,178.79152324231828,280.50629344315985,192.2606205265517,137.10994909573898,185.3688400912661,128.85456238352126,101.18667734725435,78.04714327705227,229.367789662991,183.3270997209649,188.37644992960367,153.99895824340376,221.412787373027,287.6570625913402,122.95804251374548,140.73903565490005,153.91187810625695,171.88389504084643,60.390486759318286,146.31861725033073,259.10548062614254,274.01332528216665,190.5766706410679,165.8428974365437,164.19362542427697,88.83381114716016,170.79689890051074,203.7863042843388,145.6288836604862,187.4513156662483,227.1132004191622,127.16719542342064,75.64502369423145,251.9132740197135,169.16724913734703,184.1932709204812,153.71075294696365,191.30482796633075,253.2976259224237
Salmonella infection,4.0,4.0,3.0,6.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,6.0,5.0,5.0,5.0,6.0,4.0,3.0,6.0,5.0,6.0,5.0,3.0,6.0,4.0,4.0,6.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,6.0,7.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,6.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,6.0,4.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,6.0,4.0,6.0,5.0,4.0,5.0,4.0,4.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,6.0,7.0,4.0,3.0,3.0,4.0,4.0,7.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,8.0,5.0,4.0,5.0,4.0,6.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,7.0,6.0,4.0,3.0,5.0,5.0,6.0,4.0,5.0,4.0,3.0,6.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,6.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,7.0,6.0,4.0,4.0,4.0,4.0,5.0,4.0,6.0,6.0,3.0,5.0
Salmonella infection,22.0,15.0,16.0,16.0,18.0,19.0,16.0,19.0,11.0,17.0,22.0,21.0,20.0,16.0,15.0,16.0,15.0,17.0,14.0,17.0,15.0,16.0,13.0,17.0,16.0,21.0,16.0,12.0,15.0,18.0,19.0,19.0,19.0,16.0,17.0,18.0,12.0,16.0,16.0,17.0,15.0,21.0,18.0,12.0,16.0,16.0,18.0,16.0,13.0,15.0,13.0,16.0,13.0,15.0,19.0,12.0,17.0,14.0,13.0,17.0,12.0,16.0,16.0,16.0,16.0,18.0,15.0,19.0,19.0,16.0,19.0,18.0,16.0,18.0,17.0,20.0,13.0,20.0,17.0,20.0,18.0,19.0,18.0,16.0,20.0,24.0,18.0,13.0,18.0,20.0,17.0,13.0,18.0,23.0,18.0,19.0,14.0,13.0,17.0,18.0,16.0,18.0,20.0,13.0,14.0,21.0,16.0,15.0,16.0,23.0,16.0,22.0,16.0,18.0,19.0,15.0,17.0,21.0,16.0,17.0,19.0,14.0,16.0,17.0,12.0,18.0,18.0,15.0,19.0,16.0,18.0,15.0,13.0,18.0,14.0,15.0,19.0,15.0,16.0,18.0,16.0,18.0,17.0,18.0,13.0,17.0,16.0,16.0,17.0,14.0,17.0,19.0,16.0,25.0,14.0,18.0,15.0,14.0,11.0,20.0,10.0,16.0,14.0,17.0,18.0,14.0,15.0,17.0,21.0,12.0,19.0,17.0,14.0,20.0,17.0,25.0,18.0,20.0,17.0,16.0,14.0,16.0,15.0,19.0,16.0,18.0,14.0,13.0,14.0,15.0,16.0,15.0,18.0,20.0,18.0,19.0,15.0,14.0,14.0,15.0,15.0
