pathway_name,pathway_embedding,random_embedding_1,random_embedding_2,random_embedding_3,random_embedding_4,random_embedding_5,random_embedding_6,random_embedding_7,random_embedding_8,random_embedding_9,random_embedding_10,random_embedding_11,random_embedding_12,random_embedding_13,random_embedding_14,random_embedding_15,random_embedding_16,random_embedding_17,random_embedding_18,random_embedding_19,random_embedding_20,random_embedding_21,random_embedding_22,random_embedding_23,random_embedding_24,random_embedding_25,random_embedding_26,random_embedding_27,random_embedding_28,random_embedding_29,random_embedding_30,random_embedding_31,random_embedding_32,random_embedding_33,random_embedding_34,random_embedding_35,random_embedding_36,random_embedding_37,random_embedding_38,random_embedding_39,random_embedding_40,random_embedding_41,random_embedding_42,random_embedding_43,random_embedding_44,random_embedding_45,random_embedding_46,random_embedding_47,random_embedding_48,random_embedding_49,random_embedding_50,random_embedding_51,random_embedding_52,random_embedding_53,random_embedding_54,random_embedding_55,random_embedding_56,random_embedding_57,random_embedding_58,random_embedding_59,random_embedding_60,random_embedding_61,random_embedding_62,random_embedding_63,random_embedding_64,random_embedding_65,random_embedding_66,random_embedding_67,random_embedding_68,random_embedding_69,random_embedding_70,random_embedding_71,random_embedding_72,random_embedding_73,random_embedding_74,random_embedding_75,random_embedding_76,random_embedding_77,random_embedding_78,random_embedding_79,random_embedding_80,random_embedding_81,random_embedding_82,random_embedding_83,random_embedding_84,random_embedding_85,random_embedding_86,random_embedding_87,random_embedding_88,random_embedding_89,random_embedding_90,random_embedding_91,random_embedding_92,random_embedding_93,random_embedding_94,random_embedding_95,random_embedding_96,random_embedding_97,random_embedding_98,random_embedding_99,random_embedding_100,random_embedding_101,random_embedding_102,random_embedding_103,random_embedding_104,random_embedding_105,random_embedding_106,random_embedding_107,random_embedding_108,random_embedding_109,random_embedding_110,random_embedding_111,random_embedding_112,random_embedding_113,random_embedding_114,random_embedding_115,random_embedding_116,random_embedding_117,random_embedding_118,random_embedding_119,random_embedding_120,random_embedding_121,random_embedding_122,random_embedding_123,random_embedding_124,random_embedding_125,random_embedding_126,random_embedding_127,random_embedding_128,random_embedding_129,random_embedding_130,random_embedding_131,random_embedding_132,random_embedding_133,random_embedding_134,random_embedding_135,random_embedding_136,random_embedding_137,random_embedding_138,random_embedding_139,random_embedding_140,random_embedding_141,random_embedding_142,random_embedding_143,random_embedding_144,random_embedding_145,random_embedding_146,random_embedding_147,random_embedding_148,random_embedding_149,random_embedding_150,random_embedding_151,random_embedding_152,random_embedding_153,random_embedding_154,random_embedding_155,random_embedding_156,random_embedding_157,random_embedding_158,random_embedding_159,random_embedding_160,random_embedding_161,random_embedding_162,random_embedding_163,random_embedding_164,random_embedding_165,random_embedding_166,random_embedding_167,random_embedding_168,random_embedding_169,random_embedding_170,random_embedding_171,random_embedding_172,random_embedding_173,random_embedding_174,random_embedding_175,random_embedding_176,random_embedding_177,random_embedding_178,random_embedding_179,random_embedding_180,random_embedding_181,random_embedding_182,random_embedding_183,random_embedding_184,random_embedding_185,random_embedding_186,random_embedding_187,random_embedding_188,random_embedding_189,random_embedding_190,random_embedding_191,random_embedding_192,random_embedding_193,random_embedding_194,random_embedding_195,random_embedding_196,random_embedding_197,random_embedding_198,random_embedding_199,random_embedding_200
Shigellosis,15.0,11.0,15.0,15.0,15.0,17.0,13.0,16.0,21.0,15.0,20.0,16.0,17.0,17.0,14.0,23.0,15.0,9.0,18.0,15.0,14.0,16.0,15.0,16.0,14.0,17.0,20.0,14.0,16.0,16.0,14.0,16.0,13.0,13.0,11.0,12.0,14.0,18.0,16.0,11.0,13.0,17.0,10.0,14.0,11.0,11.0,17.0,15.0,15.0,15.0,20.0,17.0,17.0,18.0,22.0,19.0,17.0,14.0,14.0,16.0,15.0,22.0,20.0,16.0,11.0,19.0,10.0,14.0,14.0,12.0,14.0,17.0,17.0,17.0,18.0,20.0,19.0,15.0,15.0,19.0,12.0,14.0,15.0,16.0,11.0,17.0,16.0,10.0,11.0,15.0,20.0,17.0,18.0,13.0,16.0,13.0,14.0,11.0,15.0,14.0,12.0,20.0,13.0,16.0,16.0,10.0,14.0,13.0,14.0,18.0,14.0,19.0,13.0,13.0,15.0,15.0,13.0,16.0,13.0,18.0,17.0,14.0,12.0,16.0,10.0,17.0,15.0,15.0,16.0,16.0,11.0,11.0,14.0,14.0,17.0,14.0,15.0,15.0,18.0,10.0,12.0,17.0,10.0,14.0,16.0,15.0,17.0,12.0,11.0,15.0,21.0,12.0,14.0,17.0,17.0,16.0,14.0,14.0,13.0,18.0,15.0,17.0,7.0,12.0,14.0,16.0,13.0,13.0,13.0,13.0,16.0,16.0,9.0,17.0,16.0,17.0,16.0,12.0,13.0,16.0,16.0,17.0,21.0,16.0,13.0,16.0,16.0,20.0,13.0,16.0,18.0,13.0,15.0,13.0,14.0,14.0,15.0,12.0,9.0,14.0,12.0
Shigellosis,479.1597988331206,92.93881247398755,191.00380592306294,179.32289347028697,264.0675484043206,343.09920791937714,177.95005476868565,210.62696105494078,286.3276412922329,181.62108883637595,298.09390777308187,97.35064106378762,183.65906989111704,128.6142842055386,304.5805672890825,153.09798799056352,368.8668887195799,151.67697769251836,284.95412080143547,179.98775407799792,263.99475371496544,136.07231500298766,148.39402579704705,248.96663331134573,246.1939621753137,213.7578789425312,162.05246129153642,194.45892074869067,263.4997927386043,169.3818848481489,186.1098872489101,245.80766083210625,100.88672499245385,263.84490562141343,61.46655469886433,167.24204310225412,144.6501061250691,181.8813353246695,950.7863334928358,784.3842070076568,216.82399823887948,172.86973422053217,165.26783019034872,81.02696169074474,199.70777317967267,321.88670275924324,211.70947618473352,86.13808552539967,227.26350787228293,147.47052458936423,276.76377925239785,267.8195219388956,250.6935483064351,235.0140216493684,194.25207272932553,151.1339297755022,255.630426296073,399.3925124718037,199.77784497685462,149.0713166593702,242.44376652118171,899.0745569357442,378.95162449294196,411.9677508480276,215.08449051999924,174.65464717789177,120.34267125780343,172.7262899627212,415.1062423720493,175.7417811670448,215.67074554296718,241.60937626475007,239.7989353316394,164.11294700077343,209.50445368570072,268.74035293374055,278.01201098671044,289.01388826138043,1035.867431288018,258.7094257981903,118.99890178666053,171.70193000085203,688.4965354105939,255.134559203871,148.98008894069977,159.4184197130006,188.35950668757727,56.9195890490977,225.72367466358466,208.35723380038004,73.64431835401254,233.63524649187335,247.04809759900033,271.937186640645,271.17138758982196,283.5275225183268,196.3101380203835,200.1484249093329,132.42503599787574,221.50086964547415,187.43420201794814,450.42221568847106,129.7636903949022,345.8916287928822,184.44251261153462,221.80245487147704,147.92106769122137,195.36891005917,390.77753326571843,220.9289524122008,161.42755727237403,186.84305724507684,314.37787177024234,164.29034910434143,245.7452458407099,77.86121450759154,346.5652102782305,188.1071590336692,213.63224265957507,134.48640670043994,174.5069613476227,212.47817707671842,199.862846193686,127.87413296722772,139.7344163314279,125.38513055274903,264.14089834374977,171.0263199456915,187.69769127222725,150.6883615992161,143.0930620049729,400.2028432480806,238.9866200654555,112.50448081057941,232.51082923814374,237.20582545063067,554.0498112497609,756.5975082426553,218.89154075431827,175.1558906717671,204.02647132575052,211.33427914560218,125.91712488774297,976.682897525124,116.37164600282973,90.80964465944024,415.1509431004658,149.93015019066257,267.76453926029774,230.28697968714437,227.74594674869576,172.99221550933123,334.4794783569904,235.63873187858167,225.30782337199972,372.6179378657551,206.75895831511664,125.02566491761009,198.2338675533921,126.80887341980718,205.75981734379496,254.42055909342366,131.66917076420395,173.20298247845238,92.32576200028666,245.01035421772326,121.70290833803594,416.1558315939709,129.24738488434448,129.86460071154525,281.8929507056568,341.3938526945084,89.03515333427207,406.4535504847693,257.4446979283165,195.56201884115302,292.83723000017557,348.2915637448514,247.0518646808667,964.2516573819031,120.92247083203932,253.9901254792142,229.36093639141126,216.795860894095,144.15258260105904,362.76694032206893,232.9620932942386,248.666981767086,190.82844706687797,472.0626337173881,230.41898900852212,235.77464849243268,367.4417019522041,92.83608834762818,273.01447017439534,267.37041982347574,170.84122735623032,130.22576782959464,242.4744783640894,737.8135142187573,293.2971841245759
Shigellosis,3.0,5.0,5.0,6.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,6.0,5.0,4.0,7.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,7.0,10.0,4.0,3.0,6.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,3.0,4.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,4.0,4.0,6.0,4.0,4.0,6.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,6.0,3.0,3.0,4.0,5.0,4.0,6.0,4.0,4.0,4.0,5.0,3.0,6.0,6.0,4.0,4.0,9.0,3.0,5.0,4.0,5.0,6.0,4.0,6.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,6.0,3.0,3.0,3.0,4.0,6.0,4.0,6.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,8.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0
Shigellosis,16.0,13.0,15.0,14.0,17.0,17.0,17.0,14.0,20.0,18.0,15.0,14.0,13.0,22.0,12.0,22.0,15.0,11.0,21.0,12.0,16.0,18.0,18.0,19.0,15.0,17.0,21.0,14.0,17.0,14.0,16.0,15.0,16.0,15.0,13.0,13.0,15.0,14.0,11.0,13.0,17.0,17.0,14.0,15.0,11.0,16.0,14.0,17.0,14.0,18.0,20.0,16.0,17.0,13.0,18.0,14.0,18.0,12.0,14.0,19.0,15.0,19.0,16.0,15.0,15.0,17.0,11.0,15.0,13.0,12.0,13.0,12.0,19.0,17.0,22.0,16.0,18.0,16.0,18.0,16.0,12.0,15.0,15.0,21.0,15.0,15.0,13.0,10.0,15.0,18.0,19.0,14.0,15.0,11.0,16.0,14.0,14.0,15.0,17.0,14.0,16.0,16.0,13.0,14.0,16.0,11.0,18.0,13.0,17.0,22.0,16.0,19.0,14.0,13.0,17.0,14.0,13.0,19.0,12.0,16.0,15.0,18.0,14.0,15.0,12.0,15.0,17.0,12.0,18.0,16.0,11.0,15.0,14.0,12.0,17.0,17.0,15.0,16.0,13.0,9.0,13.0,16.0,16.0,20.0,15.0,15.0,15.0,13.0,13.0,18.0,20.0,12.0,14.0,15.0,14.0,17.0,12.0,15.0,13.0,18.0,12.0,16.0,8.0,12.0,9.0,17.0,14.0,13.0,14.0,18.0,17.0,19.0,10.0,18.0,14.0,21.0,15.0,13.0,13.0,16.0,17.0,12.0,15.0,16.0,12.0,15.0,22.0,16.0,16.0,17.0,15.0,16.0,16.0,15.0,17.0,16.0,16.0,11.0,14.0,18.0,22.0
Shigellosis,252.51478462189374,95.13575172268881,185.68223521892884,125.26299194392374,220.87182283862825,275.5802713306281,147.72862580189465,106.5158533990761,253.1879010719475,130.47534706301974,305.4710383763934,104.97964957153864,119.87059848119777,141.3922365116688,240.24634157635091,126.93637977751445,304.9725437911516,105.69325750584652,227.94319598290912,200.30978777425602,231.52351409456062,145.6249417163724,213.4298287395548,241.8331712457661,149.3806410111611,207.3524432196133,118.9662117426806,187.55152591058325,199.16868938046235,237.51212115629647,163.54127419524536,155.44022225507928,87.97587131312632,172.54680389130883,52.27245344401415,141.60668732959627,76.94761345971936,106.00637486887952,244.4348758223131,185.6950427791305,183.0329211413429,238.59966653134813,83.40895783891844,53.56790499625906,126.92049193415782,173.66859444738762,164.14317992189152,87.9163494952664,178.44120003663727,149.12906167184028,411.6738393252347,251.46390431768236,263.9505736644711,154.99933371880536,174.09928964465925,146.6755425620097,244.76590909861002,261.77149700507056,165.30370882104108,110.69520646830455,155.6674915437414,173.15630753667557,202.68352290115405,128.80643907456582,214.03650995163824,142.19742988004012,79.09909845220909,127.38496578655739,171.46509928068787,108.14381878165386,162.93700172110633,274.05789628967125,248.79296382984293,231.56843494350932,134.2135228926478,155.56570798567574,302.54115326209416,158.83978257810344,253.07150715937988,142.10109911852373,98.88758562446289,137.655449141292,229.5542380796755,258.948995529413,61.77719835866941,109.08212404311726,141.98051126386522,55.136317108586,140.09390576841062,179.05871326647878,92.9184145482504,141.1933371182972,232.5380490582018,129.38294651162772,266.58554487653527,187.21939042630484,233.15156293806348,117.72734757713292,111.85955220922187,164.36531827289127,176.9024607686171,359.5489118901651,96.3846803147776,239.25025179982245,194.08035425591862,88.96270420279487,164.63962258297326,270.52384737404356,222.25511249706338,208.67885970955516,171.8743284668946,106.66070882516725,205.63017685237133,151.77981159708233,219.6734157447364,40.73062063936061,140.80379799018291,183.58971553783812,201.44307391885278,123.26315392406238,148.26438297027948,158.29591911065188,45.63685292990569,163.41547319664488,89.25465019466547,132.23420207734466,141.35631574756658,124.03921591104046,136.94206337413755,194.8225486596553,213.70210604948687,212.9030083043428,222.76953049660614,92.15870343888044,161.98266435490063,239.83218689639284,284.5933940427763,259.45776973914593,222.98064773674832,166.36442567699402,45.555571844540175,216.65700868494977,77.01626762430668,226.9278278517971,171.64632680981398,96.64119847790892,282.0394504238556,153.30005009382688,279.005324345325,184.72001828840519,190.58963870413984,111.50182414921177,332.2535636371081,191.61330954419554,175.33894961612737,273.79547379156526,149.7609233703171,185.83868292094576,212.26929564050965,142.4355976191825,245.94290606749357,247.72268639325043,127.90620507618122,252.99036391409214,58.318234009746114,133.13677561330542,144.8807774793745,183.2233199380137,141.71095081079187,124.15686549199779,269.3907110637165,285.35738611946977,85.38179248931344,319.82767547929393,217.91394286167093,155.2052258687498,249.44177088535548,227.13677799856524,164.579692840941,293.81707312508416,122.76189605191125,218.9688512441138,308.36591936617776,213.9964853524753,115.5128855566515,181.1280686585953,154.29656225751754,123.52918077918164,196.50499662120026,268.54767228690656,191.65741587468267,195.19229737985728,300.8024739482504,93.82031953771026,213.51775808315617,299.4603291461678,53.38922181454459,77.84414966385225,96.13618245503044,388.0211852235909,327.3382181881203
Shigellosis,4.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,6.0,5.0,4.0,6.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,6.0,9.0,3.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,6.0,8.0,3.0,2.0,4.0,5.0,7.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,7.0,5.0,5.0,4.0,5.0,7.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,7.0,4.0,5.0,5.0,6.0,4.0,4.0,6.0,5.0,6.0,5.0,5.0,6.0,4.0,4.0,3.0,4.0,4.0,6.0,3.0,7.0,4.0,3.0,3.0,3.0,6.0,5.0,6.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,6.0,4.0,5.0,8.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0
Shigellosis,16.0,14.0,18.0,15.0,16.0,16.0,16.0,14.0,17.0,15.0,14.0,18.0,15.0,19.0,17.0,18.0,15.0,10.0,19.0,12.0,13.0,18.0,18.0,19.0,16.0,15.0,18.0,12.0,14.0,15.0,13.0,16.0,15.0,15.0,12.0,16.0,13.0,15.0,12.0,16.0,17.0,14.0,12.0,16.0,15.0,17.0,18.0,17.0,16.0,18.0,18.0,18.0,19.0,16.0,18.0,16.0,18.0,14.0,14.0,19.0,14.0,18.0,15.0,14.0,14.0,19.0,9.0,13.0,11.0,14.0,14.0,12.0,19.0,17.0,16.0,21.0,16.0,13.0,17.0,17.0,14.0,14.0,14.0,18.0,12.0,12.0,16.0,13.0,14.0,16.0,21.0,18.0,17.0,18.0,17.0,17.0,16.0,13.0,15.0,16.0,13.0,21.0,13.0,14.0,14.0,11.0,15.0,14.0,16.0,15.0,14.0,15.0,14.0,14.0,15.0,19.0,15.0,17.0,16.0,20.0,15.0,18.0,14.0,14.0,13.0,14.0,20.0,13.0,17.0,15.0,13.0,14.0,16.0,16.0,16.0,14.0,18.0,14.0,14.0,10.0,13.0,21.0,13.0,20.0,15.0,14.0,15.0,16.0,14.0,16.0,18.0,13.0,14.0,16.0,15.0,16.0,13.0,16.0,19.0,16.0,16.0,15.0,10.0,15.0,12.0,17.0,12.0,15.0,12.0,18.0,15.0,19.0,10.0,19.0,17.0,16.0,14.0,15.0,17.0,16.0,19.0,18.0,18.0,18.0,13.0,17.0,15.0,19.0,13.0,17.0,18.0,16.0,16.0,14.0,17.0,18.0,14.0,15.0,11.0,20.0,16.0
Shigellosis,247.92135115722564,59.93949870325957,238.14461349770278,54.73909348445087,125.64374872347886,204.89212907427287,155.84316393487765,210.34868374653388,247.050982039389,174.55216130898506,287.54262597493573,72.60523757861262,107.44671051403806,73.34019976843412,172.34863074636894,135.28965310263504,213.75278382346858,106.40852456190962,245.86183309729847,76.65970767812452,221.3018136472501,102.28358522573504,226.51303677783156,176.6498466279858,111.70535265238541,203.5550228135156,147.95292085584907,129.90830829370873,251.21055683556222,197.99918400526477,152.58179565792082,71.92176410423302,146.831789801356,211.93225871233975,53.96593639840911,105.92416822932637,121.6777230034033,122.98420738137833,178.9827666714223,112.30802189912237,121.5235265716807,159.1689303513419,47.42701512403506,45.02555051965171,96.66584399639886,271.81737489706967,219.26097709925574,92.70459589322937,171.63300837309913,130.3651082601834,259.18290778638476,234.4003251494232,156.7801800489496,96.3423820757656,162.56411836319597,154.50385845346972,262.96750945438947,204.3123547061667,157.35868028240256,72.78151279512632,160.44459623489624,124.01364466291055,193.91172295388924,191.68939105940134,116.76587450854086,112.10268991304409,68.96815780012555,97.70862747463921,110.34514895764201,128.1453655608849,128.11760299356663,139.13600867630544,165.79679111721435,206.69242094903188,144.39591158476745,200.99219608984325,236.76128215151644,277.90839216295603,144.91122721697508,215.4534374031597,65.63728780047265,105.74205817157078,261.64678472053356,255.09933168684617,116.9550482045764,115.46971588686806,122.46224024077242,76.02501284386949,62.67525770877935,206.38682477511136,36.94600328942059,107.9614151547234,169.34241062707127,108.57665489500302,283.8258331054068,154.6650005257445,250.9500359509659,139.391346045358,84.24400870032316,191.5434162031769,135.36495346154896,420.3315880266161,51.46449682182837,198.68616516970593,194.5279976608949,107.85478069109531,138.91013185607395,203.69028694565736,251.5130849281746,229.1604679315659,196.61504577843507,123.03782094556446,249.40776861362974,109.6091388073473,255.8367968478096,41.407110969275294,153.05107241252566,178.42575669455712,31.051204553224046,188.3824461081974,67.14954787137813,196.85732626879704,31.68930133271749,137.33814842558036,52.49729804553643,146.4931895104484,174.69936690399632,114.64446117750126,131.122662127828,196.31936227444425,187.81143949272254,140.9351020641744,120.13952780100155,104.42088163545404,208.1603899989574,158.83651836318094,264.444100150352,351.4248965631161,132.23151323012016,118.0946329563373,28.302845787507763,130.7514806776011,42.668926120605214,260.4499829398635,41.727353805645,56.40488514808882,284.82137185604194,129.3999777292832,224.3789592286151,92.4469131459351,190.32545071368213,99.2471999069631,248.01184048640272,258.06589747604306,137.67472500029632,224.46841102586157,123.3438939417756,104.93167410229634,146.88087172507116,133.6359122223977,240.53894867730122,119.93527144788995,54.73559875895876,132.4065445649434,22.49131900895987,163.60794168377157,98.74959176209839,167.7880089447866,70.61587734064241,112.83134848440297,175.46410984308753,188.41362972850007,61.52005459523061,297.4425626125392,141.09685074289737,158.87321198129504,212.52273614919176,60.55576256700161,121.73315339340971,332.68737104944705,126.52893088496377,170.49541142150358,149.30290952155988,211.08725488703877,109.15097910471412,283.13235574009104,195.224407623055,172.5528726866726,155.84175202353586,259.5842043428484,224.88321334199503,96.566630530541,285.64583802384084,79.4605365765144,124.8541599101753,143.61727966708727,127.54373614742029,45.987903556636525,93.76496207758736,289.86482251361923,268.46889658194186
Shigellosis,4.0,5.0,4.0,6.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,6.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,8.0,9.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,6.0,8.0,4.0,3.0,4.0,5.0,7.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0,7.0,4.0,5.0,5.0,4.0,8.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,7.0,3.0,3.0,4.0,5.0,4.0,6.0,3.0,5.0,4.0,5.0,3.0,5.0,6.0,5.0,4.0,8.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,6.0,4.0,5.0,6.0,4.0,4.0,2.0,4.0,4.0,7.0,3.0,7.0,4.0,3.0,4.0,4.0,5.0,4.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,6.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,6.0,4.0,5.0,8.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0
Shigellosis,14.0,12.0,16.0,15.0,16.0,16.0,15.0,18.0,16.0,16.0,14.0,16.0,14.0,16.0,17.0,32.0,17.0,11.0,19.0,12.0,14.0,18.0,13.0,19.0,15.0,16.0,18.0,12.0,20.0,17.0,16.0,14.0,13.0,20.0,11.0,16.0,16.0,18.0,13.0,13.0,13.0,19.0,13.0,16.0,16.0,16.0,20.0,17.0,13.0,11.0,19.0,23.0,20.0,16.0,19.0,18.0,17.0,19.0,16.0,18.0,14.0,16.0,14.0,18.0,11.0,16.0,13.0,17.0,16.0,12.0,13.0,15.0,18.0,19.0,21.0,18.0,18.0,16.0,17.0,22.0,11.0,15.0,19.0,18.0,14.0,17.0,14.0,10.0,14.0,15.0,16.0,14.0,17.0,16.0,13.0,15.0,13.0,13.0,15.0,17.0,15.0,22.0,13.0,21.0,15.0,11.0,15.0,17.0,15.0,23.0,15.0,19.0,13.0,17.0,18.0,13.0,14.0,14.0,14.0,16.0,16.0,16.0,14.0,14.0,12.0,14.0,21.0,15.0,14.0,15.0,14.0,14.0,13.0,16.0,16.0,17.0,17.0,18.0,17.0,13.0,16.0,17.0,12.0,21.0,16.0,14.0,16.0,17.0,14.0,19.0,14.0,14.0,14.0,15.0,17.0,16.0,16.0,21.0,15.0,18.0,18.0,17.0,9.0,15.0,10.0,15.0,16.0,14.0,14.0,23.0,21.0,20.0,11.0,16.0,15.0,14.0,13.0,17.0,13.0,15.0,21.0,15.0,17.0,17.0,11.0,17.0,17.0,19.0,15.0,20.0,18.0,14.0,18.0,14.0,16.0,19.0,16.0,14.0,12.0,19.0,17.0
