Pathway,Computation Time (seconds),Pathway Size
mTOR signaling pathway,168.73482656478882,108
MAPK signaling pathway,373.8703896999359,163
HIF-1 signaling pathway,75.68438196182251,68
AMPK signaling pathway,108.0058798789978,84
Phagosome,84.41148900985718,71
PPAR signaling pathway,23.48391056060791,31
FoxO signaling pathway,121.90051889419556,88
cGMP-PKG signaling pathway,112.40811705589294,86
Mineral absorption,24.25097346305847,31
Antigen processing and presentation,25.28129744529724,32
Rap1 signaling pathway,133.3695752620697,96
Ribosome,236.67261385917664,128
Protein digestion and absorption,20.63895893096924,28
PI3K-Akt signaling pathway,289.6132113933563,144
Pancreatic secretion,43.07233500480652,47
Oxidative phosphorylation,201.95515537261963,117
Insulin signaling pathway,145.54933881759644,98
Autophagy,273.40209102630615,141
Protein processing in endoplasmic reticulum,317.55902004241943,152
Longevity regulating pathway,66.4937789440155,63
Apoptosis,118.12196779251099,89
Cytokine-cytokine receptor interaction,37.65718102455139,43
Salmonella infection,432.85576128959656,179
Bacterial invasion of epithelial cells,59.48634743690491,58
Pathogenic Escherichia coli infection,218.67705297470093,126
Thyroid cancer,22.08404517173767,30
Shigellosis,376.52829456329346,169
